
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2023-12-22	13075.0	Call	NDXP YEIKIW5BVALQ|NDX 31	2023-12-20 16:00:00	3508.70	3595.10	3500.30	3575.10	1.0	3487.10	3495.20	3395.80	3413.40	1.0	3497.900	3545.150	3448.050	3494.250	NaN
1	2023-12-22	18050.0	Call	NDXP YEIKHGDH9B7Y|NDX 31	2023-12-20 16:00:00	0.55	1.95	0.55	0.55	3.0	NaN	NaN	NaN	NaN	NaN	0.550	1.950	0.550	0.550	NaN
2	2024-03-15	10000.0	Put	NDX 32FXA6ISIL4HA|NDX 31	2023-12-20 17:00:00	7.40	15.00	7.20	7.20	2.0	5.40	5.60	0.05	5.60	2.0	6.400	10.300	3.625	6.400	NaN
3	2023-12-22	16300.0	Put	NDXP 32DMKMOT4JOOE|NDX 31	2023-12-20 16:00:00	13.80	24.90	11.90	17.00	2.0	12.20	15.50	5.40	15.30	1.0	13.000	20.200	8.650	16.150	NaN
4	2024-03-15	14725.0	Put	NDX 32FXA8EFL8QY6|NDX 31	2023-12-20 17:00:00	106.70	113.00	104.80	107.20	10.0	101.20	104.30	96.90	103.80	10.0	103.950	108.650	100.850	105.500	NaN
5	2023-12-22	18525.0	Call	NDXP YEIKJL6NRFQM|NDX 31	2023-12-20 16:00:00	0.65	1.75	0.45	0.50	6.0	NaN	NaN	NaN	NaN	NaN	0.650	1.750	0.450	0.500	NaN
6	2023-12-22	14875.0	Put	NDXP 32DMKOKE7VKVI|NDX 31	2023-12-20 16:00:00	1.20	3.40	1.05	1.15	3.0	0.35	0.35	0.05	0.35	7.0	0.775	1.875	0.550	0.750	NaN
7	2023-12-22	15570.0	Put	NDXP 32DMKMV7O04CU|NDX 31	2023-12-20 16:00:00	2.50	4.80	2.20	2.55	2.0	1.65	1.70	0.05	1.70	5.0	2.075	3.250	1.125	2.125	NaN
8	2024-06-21	15300.0	Put	NDX 32ILRZPC6XNE6|NDX 31	2023-12-20 17:00:00	372.10	380.60	369.60	379.20	11.0	362.40	366.80	358.50	363.20	11.0	367.250	373.700	364.050	371.200	NaN
9	2024-09-20	17100.0	Put	NDX 32L3DO7PJ2BVY|NDX 31	2023-12-20 17:00:00	1083.10	1154.90	1076.90	1090.90	3.0	1061.60	1069.00	987.60	1058.50	8.0	1072.350	1111.950	1032.250	1074.700	NaN
10	2024-09-20	18800.0	Put	NDX 32L3DO7SCA0Q6|NDX 31	2023-12-20 17:00:00	2013.80	2087.10	2005.20	2081.60	1.0	1988.30	1997.40	1915.30	1919.20	2.0	2001.050	2042.250	1960.250	2000.400	NaN
11	2023-12-22	14750.0	Call	NDXP YEIKHEUWIUXA|NDX 31	2023-12-20 16:00:00	1835.20	1924.00	1827.20	1903.20	1.0	1813.70	1822.00	1727.40	1744.70	1.0	1824.450	1873.000	1777.300	1823.950	NaN
12	2024-06-21	15525.0	Put	NDX 32ILS1NYFQG6M|NDX 31	2023-12-20 17:00:00	417.40	424.90	414.50	424.90	10.0	407.40	412.10	403.60	408.20	10.0	412.400	418.500	409.050	416.550	NaN
13	2023-12-22	19700.0	Put	NDXP 32DMKMOYQZ2CU|NDX 31	2023-12-20 16:00:00	3132.90	3228.90	3124.80	3211.10	1.0	3111.20	3119.90	3028.90	3049.20	1.0	3122.050	3174.400	3076.850	3130.150	NaN
14	2023-12-22	15740.0	Put	NDXP 32DMKMVAH7T72|NDX 31	2023-12-20 16:00:00	3.10	5.80	2.70	3.20	5.0	2.15	2.30	0.05	2.30	6.0	2.625	4.050	1.375	2.750	NaN
15	2023-12-22	16525.0	Put	NDXP 32DMKORZ3JUCU|NDX 31	2023-12-20 16:00:00	57.00	72.30	51.90	72.30	1.0	53.90	60.50	44.30	58.10	1.0	55.450	66.400	48.100	65.200	NaN
16	2023-12-22	16875.0	Call	NDXP YEIKJDLS369A|NDX 31	2023-12-20 16:00:00	8.90	16.60	8.80	10.40	9.0	7.70	9.50	2.35	9.20	3.0	9.170	9.170	9.170	9.170	5.0
17	2023-12-22	13200.0	Call	NDXP YEIKH8OSPHRI|NDX 31	2023-12-20 16:00:00	3383.50	3468.40	3375.40	3454.80	1.0	3362.20	3370.30	3271.40	3292.80	1.0	3372.850	3419.350	3323.400	3373.800	NaN
18	2023-12-22	15090.0	Call	NDXP YEIKHF0IY8LQ|NDX 31	2023-12-20 16:00:00	1495.90	1587.50	1487.60	1568.50	1.0	1474.40	1482.70	1387.80	1410.80	1.0	1485.150	1535.100	1437.700	1489.650	NaN
19	2024-06-21	13600.0	Put	NDX 32ILRZP9DPYJY|NDX 31	2023-12-20 17:00:00	155.50	161.40	154.40	160.90	18.0	148.40	150.50	143.20	144.50	11.0	151.950	155.950	148.800	152.700	NaN
20	2024-06-21	11900.0	Put	NDX 32ILRZP6KI9PQ|NDX 31	2023-12-20 17:00:00	67.00	73.20	66.20	72.00	11.0	61.60	62.50	56.40	56.50	11.0	64.300	67.850	61.300	64.250	NaN
21	2024-06-21	11700.0	Call	NDX YJHRU971BS8E|NDX 31	2023-12-20 17:00:00	5201.40	5279.50	5192.40	5266.40	1.0	5180.10	5189.50	5099.00	5102.50	1.0	5190.750	5234.500	5145.700	5184.450	NaN
22	2023-12-22	12900.0	Put	NDXP 32DMKMONI4AZY|NDX 31	2023-12-20 16:00:00	0.45	1.65	0.40	0.40	5.0	0.05	0.05	0.05	0.05	4.0	0.250	0.850	0.225	0.225	NaN
23	2023-12-22	11500.0	Call	NDXP YEIKH8LZHSXA|NDX 31	2023-12-20 16:00:00	5081.90	5170.20	5073.80	5150.70	1.0	5061.10	5069.40	4970.20	4988.00	1.0	5071.500	5119.800	5022.000	5069.350	NaN
24	2023-12-22	14920.0	Call	NDXP YEIKHEXPQJRI|NDX 31	2023-12-20 16:00:00	1665.50	1754.90	1657.20	1731.00	1.0	1644.00	1652.30	1554.90	1571.00	1.0	1654.750	1703.600	1606.050	1651.000	NaN
25	2023-12-22	15060.0	Put	NDXP 32DMKMUZ8D1U6|NDX 31	2023-12-20 16:00:00	1.55	3.50	1.25	1.45	5.0	0.60	0.60	0.05	0.60	5.0	1.075	2.050	0.650	1.025	NaN
26	2024-06-21	8300.0	Call	NDX YJHRU91EWEJY|NDX 31	2023-12-20 17:00:00	8462.60	8537.20	8454.20	8525.50	1.0	8440.60	8450.10	8358.40	8364.70	1.0	8451.600	8493.650	8406.300	8445.100	NaN
27	2023-12-22	14600.0	Put	NDXP 32DMKMOQBBZU6|NDX 31	2023-12-20 16:00:00	0.95	2.95	0.85	0.90	4.0	0.05	0.10	0.05	0.10	7.0	0.500	1.525	0.450	0.500	NaN
28	2023-12-22	15230.0	Put	NDXP 32DMKMV21KQOE|NDX 31	2023-12-20 16:00:00	1.75	3.80	1.50	1.75	4.0	0.90	0.90	0.05	0.90	6.0	1.325	2.350	0.775	1.325	NaN
29	2024-06-21	15125.0	Call	NDX YJHRW652YR1Q|NDX 31	2023-12-20 17:00:00	2145.80	2226.10	2139.80	2221.40	1.0	2127.10	2135.70	2056.00	2056.00	1.0	2136.450	2180.900	2097.900	2138.700	NaN
30	2023-12-22	14900.0	Call	NDXP YEIKH8RLX6LQ|NDX 31	2023-12-20 16:00:00	1685.50	1772.40	1677.70	1761.80	1.0	1663.90	1672.20	1573.30	1601.20	1.0	1674.700	1722.300	1625.500	1681.500	NaN
31	2023-12-22	15260.0	Call	NDXP YEIKHF3C5XFY|NDX 31	2023-12-20 16:00:00	1326.30	1416.50	1318.00	1391.10	1.0	1304.80	1313.10	1216.50	1230.10	1.0	1315.550	1364.800	1267.250	1310.600	NaN
