
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2023-12-15	9750.0	Call	NDX YEBOCP01483Y|NDX 31	2023-12-06 17:00:00	6059.30	6151.80	6058.40	6077.60	1.0	6044.90	6055.90	5966.00	6025.50	1.0	6052.100	6103.850	6012.200	6051.550	NaN
1	2024-06-21	9900.0	Put	NDX 32ILRZP39FKQ6|NDX 31	2023-12-06 17:00:00	35.10	41.70	34.30	35.50	2.0	30.70	32.00	25.60	31.60	2.0	32.900	36.850	29.950	33.550	NaN
2	2024-06-21	17700.0	Call	NDX YJHRU9GYJV72|NDX 31	2023-12-06 17:00:00	278.70	285.00	277.00	280.00	11.0	269.40	273.60	266.70	272.00	12.0	274.050	279.300	271.850	276.000	NaN
3	2023-12-15	16250.0	Put	NDX 32DFOI7YQBLLA|NDX 31	2023-12-06 17:00:00	474.10	488.10	464.20	473.90	1.0	460.60	461.40	447.80	456.30	1.0	467.350	474.750	456.000	465.100	NaN
4	2024-03-15	10100.0	Put	NDX 32FXA6J91UB3I|NDX 31	2023-12-06 17:00:00	11.10	11.40	11.00	11.00	6.0	9.10	9.30	8.00	9.30	7.0	10.100	10.350	9.500	10.150	NaN
5	2023-12-15	13525.0	Call	NDX YEBOEANKIMPA|NDX 31	2023-12-06 17:00:00	2293.00	2384.90	2292.10	2310.50	1.0	2278.30	2289.40	2219.00	2251.70	1.0	2285.650	2337.150	2255.550	2281.100	NaN
6	2023-12-15	13000.0	Call	NDX YEBOCKKXQIXA|NDX 31	2023-12-06 17:00:00	2816.60	2908.00	2815.70	2833.60	1.0	2801.90	2812.90	2730.60	2774.00	1.0	2809.250	2860.450	2773.150	2803.800	NaN
7	2024-09-20	17800.0	Call	NDX YLZDIRRHGUUM|NDX 31	2023-12-06 17:00:00	490.50	493.00	488.30	493.00	11.0	474.10	478.70	474.10	476.00	2.0	482.300	485.850	481.200	484.500	NaN
8	2023-12-08	16330.0	Call	NDXP YE4S84GO56HA|NDX 31	2023-12-06 16:00:00	2.95	3.30	2.90	3.00	14.0	2.35	2.45	1.95	2.45	13.0	2.650	2.875	2.425	2.725	NaN
9	2023-12-08	15975.0	Call	NDXP YE4S9YCKNDKE|NDX 31	2023-12-06 16:00:00	27.10	35.10	26.50	27.90	6.0	25.20	27.20	18.20	26.20	5.0	26.380	26.380	26.380	26.380	1.0
10	2023-12-08	16030.0	Put	NDXP 32D8SDKAWSYDQ|NDX 31	2023-12-06 16:00:00	257.70	257.70	245.50	255.70	2.0	242.20	246.80	236.60	239.50	2.0	249.950	252.250	241.050	247.600	NaN
11	2023-12-08	17225.0	Put	NDXP 32D8SFK2I3KOE|NDX 31	2023-12-06 16:00:00	1436.00	1506.00	1424.20	1461.40	1.0	1419.70	1420.60	1342.70	1402.50	1.0	1427.850	1463.300	1383.450	1431.950	NaN
12	2023-12-15	16520.0	Call	NDX YEBOCS3ZSTJI|NDX 31	2023-12-06 17:00:00	9.70	10.50	9.70	9.90	11.0	8.90	9.30	8.40	9.10	11.0	9.300	9.900	9.050	9.500	NaN
13	2023-12-15	15700.0	Put	NDX 32DFOI17YAE9A|NDX 31	2023-12-06 17:00:00	118.90	126.00	114.90	118.40	2.0	116.30	116.90	108.40	116.00	3.0	117.600	121.450	111.650	117.200	NaN
14	2023-12-15	15340.0	Put	NDX 32DFOI7JOJ53I|NDX 31	2023-12-06 17:00:00	35.20	41.10	33.90	35.20	7.0	33.50	33.90	26.80	33.80	7.0	34.350	37.500	30.350	34.500	NaN
15	2023-12-15	14175.0	Put	NDX 32DFOJTM9Q06M|NDX 31	2023-12-06 17:00:00	3.60	4.00	3.50	3.60	16.0	2.90	3.00	2.70	3.00	14.0	3.250	3.500	3.100	3.300	NaN
16	2024-03-15	19200.0	Put	NDX 32FXA6JO3MRLA|NDX 31	2023-12-06 17:00:00	3151.80	3223.30	3141.40	3171.20	1.0	3138.50	3139.30	3045.30	3122.80	1.0	3145.150	3181.300	3093.350	3147.000	NaN
17	2024-03-15	14375.0	Put	NDX 32FXA8CTPFLNY|NDX 31	2023-12-06 17:00:00	158.60	164.90	156.70	158.60	1.0	154.60	154.90	150.30	154.60	1.0	156.600	159.900	153.500	156.600	NaN
18	2023-12-08	15420.0	Call	NDXP YE4S841MCPZI|NDX 31	2023-12-06 16:00:00	389.90	399.10	389.10	393.80	1.0	374.40	385.40	372.10	376.20	1.0	382.150	392.250	380.600	385.000	NaN
19	2024-03-15	13725.0	Call	NDX YGTA2TV0886M|NDX 31	2023-12-06 17:00:00	2353.90	2430.90	2352.30	2376.00	1.0	2341.00	2350.50	2269.00	2327.10	1.0	2347.450	2390.700	2310.650	2351.550	NaN
20	2023-12-08	15120.0	Put	NDXP 32D8SDJVV0HVY|NDX 31	2023-12-06 16:00:00	1.70	1.80	1.60	1.80	12.0	1.10	1.25	1.00	1.25	15.0	1.400	1.525	1.300	1.525	NaN
21	2023-12-08	16500.0	Call	NDXP YE4S7XPW3Z5A|NDX 31	2023-12-06 16:00:00	1.65	1.80	1.60	1.80	3.0	1.20	1.30	0.75	1.30	14.0	1.425	1.550	1.175	1.550	NaN
22	2023-12-08	13500.0	Put	NDXP 32D8SDDK4RR1Q|NDX 31	2023-12-06 16:00:00	0.35	0.35	0.35	0.35	3.0	0.05	0.05	0.05	0.05	3.0	0.200	0.200	0.200	0.200	NaN
23	2023-12-15	16690.0	Call	NDX YEBOCS6T0IDQ|NDX 31	2023-12-06 17:00:00	5.20	5.90	5.20	5.30	18.0	4.50	4.80	4.20	4.70	15.0	4.850	5.350	4.700	5.000	NaN
24	2023-12-15	6600.0	Put	NDX 32DFOI0SWHXRI|NDX 31	2023-12-06 17:00:00	0.30	0.30	0.30	0.30	2.0	NaN	NaN	NaN	NaN	NaN	0.300	0.300	0.300	0.300	NaN
25	2024-03-15	14500.0	Call	NDX YGTA13H4J7VY|NDX 31	2023-12-06 17:00:00	1669.30	1752.80	1667.60	1703.70	1.0	1656.70	1665.80	1578.00	1646.40	1.0	1663.000	1709.300	1622.800	1675.050	NaN
26	2024-03-15	17500.0	Put	NDX 32FXA6JLAF2R2|NDX 31	2023-12-06 17:00:00	1561.80	1640.40	1552.10	1574.10	1.0	1549.70	1550.40	1464.20	1514.40	1.0	1555.750	1595.400	1508.150	1544.250	NaN
27	2024-09-20	13400.0	Put	NDX 32L3DO7JERY26|NDX 31	2023-12-06 17:00:00	320.20	323.90	317.20	323.80	12.0	306.60	308.00	305.40	306.50	10.0	313.400	315.950	311.300	315.150	NaN
28	2023-12-15	13225.0	Put	NDX 32DFOJP95O19Q|NDX 31	2023-12-06 17:00:00	1.75	2.15	1.75	1.85	15.0	1.10	1.35	0.85	1.25	16.0	1.425	1.750	1.300	1.550	NaN
29	2023-12-15	14475.0	Call	NDX YEBOEF0OKLM6|NDX 31	2023-12-06 17:00:00	1346.90	1438.60	1346.00	1364.70	1.0	1332.30	1343.50	1277.70	1314.20	1.0	1339.600	1391.050	1311.850	1339.450	NaN
30	2024-09-20	10400.0	Call	NDX YLZDIRF8W372|NDX 31	2023-12-06 17:00:00	5838.10	5915.90	5836.90	5915.90	1.0	5812.60	5824.20	5754.50	5754.50	1.0	5825.350	5870.050	5795.700	5835.200	NaN
31	2023-12-08	11950.0	Call	NDXP YE4S82G8EKUM|NDX 31	2023-12-06 16:00:00	3852.00	3929.40	3851.10	3867.50	1.0	3836.80	3848.10	3765.90	3807.50	1.0	3844.400	3888.750	3808.500	3837.500	NaN
32	2023-12-08	15025.0	Call	NDXP YE4S9TZGLENI|NDX 31	2023-12-06 16:00:00	781.00	801.10	780.10	795.00	1.0	765.40	776.70	752.00	755.10	1.0	773.200	788.900	766.050	775.050	NaN
33	2023-12-08	15290.0	Put	NDXP 32D8SDJYO86Q6|NDX 31	2023-12-06 16:00:00	2.80	2.85	2.65	2.85	14.0	2.10	2.25	2.05	2.25	13.0	2.450	2.550	2.350	2.550	NaN
34	2023-12-08	17850.0	Put	NDXP 32D8SDL50DVDA|NDX 31	2023-12-06 16:00:00	2060.10	2130.50	2048.40	2085.80	1.0	2044.10	2044.90	1967.10	2027.20	1.0	2052.100	2087.700	2007.750	2056.500	NaN
35	2023-12-08	18175.0	Put	NDXP 32D8SFOFM5JLA|NDX 31	2023-12-06 16:00:00	2384.80	2455.30	2373.00	2410.50	1.0	2369.10	2370.00	2293.40	2352.20	1.0	2376.950	2412.650	2333.200	2381.350	NaN
36	2023-12-08	15200.0	Put	NDXP 32D8SDDMXZFVY|NDX 31	2023-12-06 16:00:00	2.05	2.20	1.75	2.20	2.0	1.45	1.60	1.35	1.60	13.0	1.700	1.700	1.700	1.700	5.0
37	2023-12-15	15780.0	Call	NDX YEBOCRRR81VY|NDX 31	2023-12-06 17:00:00	184.30	193.80	183.50	188.10	1.0	181.50	185.90	175.50	183.60	3.0	182.900	189.850	179.500	185.850	NaN
38	2024-06-21	11600.0	Put	NDX 32ILRZP62N9KE|NDX 31	2023-12-06 17:00:00	79.30	85.50	77.70	78.70	11.0	74.20	75.00	70.70	74.00	11.0	76.750	80.250	74.200	76.350	NaN
39	2024-06-21	8600.0	Call	NDX YJHRU91WREPA|NDX 31	2023-12-06 17:00:00	7417.70	7493.80	7416.70	7493.80	1.0	7401.00	7412.00	7328.70	7328.70	1.0	7409.350	7452.900	7372.700	7411.250	NaN
40	2023-12-15	16080.0	Put	NDX 32DFOI7VX3WR2|NDX 31	2023-12-06 17:00:00	335.80	338.40	327.20	335.80	1.0	323.60	324.30	314.30	318.80	1.0	329.700	331.350	320.750	327.300	NaN
41	2024-06-21	19000.0	Put	NDX 32ILRZOQ16XXQ|NDX 31	2023-12-06 17:00:00	2785.70	2857.50	2775.70	2857.50	1.0	2769.80	2770.70	2691.70	2703.90	1.0	2777.750	2814.100	2733.700	2780.700	NaN
42	2023-12-08	16160.0	Call	NDXP YE4S84DUXHN2|NDX 31	2023-12-06 16:00:00	7.00	7.30	7.00	7.20	12.0	6.10	6.50	6.10	6.40	9.0	6.550	6.900	6.550	6.800	NaN
43	2024-03-15	13425.0	Put	NDX 32FXA88GLDMR2|NDX 31	2023-12-06 17:00:00	76.80	77.10	75.90	76.80	11.0	73.70	73.80	73.30	73.80	5.0	75.250	75.450	74.600	75.300	NaN
44	2024-03-15	14675.0	Call	NDX YGTA2Y84A73I|NDX 31	2023-12-06 17:00:00	1522.80	1605.60	1521.00	1553.70	1.0	1510.40	1519.20	1433.00	1498.80	1.0	1516.600	1562.400	1477.000	1526.250	NaN
45	2023-12-15	15950.0	Call	NDX YEBOCRUKFQQ6|NDX 31	2023-12-06 17:00:00	105.00	114.20	104.50	106.10	4.0	102.40	106.00	95.60	104.10	4.0	103.700	110.100	100.050	105.100	NaN
46	2024-03-15	7100.0	Call	NDX YGTA134VYG8E|NDX 31	2023-12-06 17:00:00	8784.50	8861.20	8783.70	8801.30	1.0	8771.00	8781.80	8699.10	8752.40	1.0	8777.750	8821.500	8741.400	8776.850	NaN
47	2023-12-15	10050.0	Put	NDX 32DFOI54702Z2|NDX 31	2023-12-06 17:00:00	0.35	0.80	0.30	0.30	15.0	NaN	NaN	NaN	NaN	NaN	0.350	0.800	0.300	0.300	NaN
48	2023-12-15	15170.0	Put	NDX 32DFOI7GVBG9A|NDX 31	2023-12-06 17:00:00	19.50	20.30	18.90	19.60	8.0	18.30	18.70	17.70	18.60	11.0	18.900	19.500	18.300	19.100	NaN
