
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2024-01-05	19600.0	Put	NDXP 32E0CW02Y3AJY|NDX 31	2023-12-28 16:00:00	2683.80	2763.80	2677.30	2687.60	1.0	2662.80	2663.70	2596.50	2662.30	1.0	2673.300	2713.750	2636.900	2674.950	NaN
1	2024-01-05	14350.0	Call	NDXP YEWCQPSNG172|NDX 31	2023-12-28 16:00:00	2580.00	2657.00	2579.10	2636.70	1.0	2559.20	2565.60	2484.00	2484.00	1.0	2569.600	2611.300	2531.550	2560.350	NaN
2	2024-01-05	16910.0	Call	NDXP YEWCQQYZLPU6|NDX 31	2023-12-28 16:00:00	135.50	141.70	131.60	134.20	2.0	126.90	135.00	122.70	129.30	2.0	131.200	138.350	127.150	131.750	NaN
3	2024-09-20	17000.0	Put	NDX 32L3DO7028XFY|NDX 31	2023-12-28 17:00:00	898.90	914.50	893.00	898.20	20.0	884.70	886.00	867.00	886.00	20.0	891.800	900.250	880.000	892.100	NaN
4	2024-03-15	19500.0	Put	NDX 32FXA6JOLHRQM|NDX 31	2023-12-28 17:00:00	2401.00	2472.60	2394.60	2472.60	1.0	2380.30	2381.20	2316.80	2316.80	1.0	2390.650	2426.900	2355.700	2394.700	NaN
5	2024-01-05	15730.0	Put	NDXP 32E0CW6EOC1E6|NDX 31	2023-12-28 16:00:00	3.90	4.00	3.80	3.90	9.0	3.00	3.00	3.00	3.00	11.0	3.450	3.500	3.400	3.450	NaN
6	2024-03-15	12500.0	Call	NDX YGTA13DTGIWE|NDX 31	2023-12-28 17:00:00	4563.20	4625.10	4562.10	4625.10	1.0	4542.10	4548.60	4463.10	4463.10	1.0	4552.650	4586.850	4512.600	4544.100	NaN
7	2024-09-20	12400.0	Call	NDX YLZDIRIJYS6M|NDX 31	2023-12-28 17:00:00	5033.50	5107.40	5032.70	5097.20	1.0	5008.60	5015.60	4939.20	4939.20	1.0	5021.050	5061.500	4985.950	5018.200	NaN
8	2024-09-20	11400.0	Put	NDX 32L3DO7G3P92M|NDX 31	2023-12-28 17:00:00	87.30	93.70	86.50	87.60	11.0	80.90	81.60	77.60	81.00	11.0	84.100	87.650	82.050	84.300	NaN
9	2024-01-05	20000.0	Put	NDXP 32E0CVZ6V6NAM|NDX 31	2023-12-28 16:00:00	3083.10	3157.70	3076.70	3086.90	1.0	3062.10	3063.00	2984.80	3061.60	1.0	3072.600	3110.350	3030.750	3074.250	NaN
10	2024-03-15	10000.0	Put	NDX 32FXA6ISIL4HA|NDX 31	2023-12-28 17:00:00	5.70	5.70	5.50	5.60	4.0	4.10	4.20	3.60	4.10	4.0	4.900	4.950	4.550	4.850	NaN
11	2024-03-15	16300.0	Put	NDX 32FXA6JJAZ25Q|NDX 31	2023-12-28 17:00:00	252.20	259.70	249.90	252.80	21.0	248.30	248.80	240.70	248.80	1.0	250.250	254.250	245.300	250.800	NaN
12	2024-01-05	17825.0	Call	NDXP YEWCST397PF2|NDX 31	2023-12-28 16:00:00	1.85	1.95	1.80	1.90	14.0	1.00	1.15	1.00	1.15	13.0	1.425	1.550	1.400	1.525	NaN
13	2024-01-05	18475.0	Put	NDXP 32E0CYC1YF2WE|NDX 31	2023-12-28 16:00:00	1560.50	1635.70	1554.10	1564.30	1.0	1539.50	1540.40	1462.80	1539.10	1.0	1550.000	1588.050	1508.450	1551.700	NaN
14	2024-06-21	9600.0	Put	NDX 32ILRZP2RKKKU|NDX 31	2023-12-28 17:00:00	19.80	21.20	19.60	20.50	3.0	17.50	17.60	17.40	17.50	3.0	18.650	19.400	18.500	19.000	NaN
15	2024-06-21	18375.0	Put	NDX 32ILS211RWCXA|NDX 31	2023-12-28 17:00:00	1417.40	1484.40	1412.60	1484.40	2.0	1403.90	1405.20	1336.20	1336.20	1.0	1410.650	1444.800	1374.400	1410.300	NaN
16	2024-03-15	13375.0	Call	NDX YGTA2S94F2WE|NDX 31	2023-12-28 17:00:00	3708.80	3769.60	3707.60	3769.60	1.0	3688.00	3694.40	3607.70	3611.20	1.0	3698.400	3732.000	3657.650	3690.400	NaN
17	2024-03-15	14725.0	Put	NDX 32FXA8EFL8QY6|NDX 31	2023-12-28 17:00:00	66.10	66.50	65.30	66.10	3.0	63.70	63.80	62.60	63.70	12.0	64.900	65.150	63.950	64.900	NaN
18	2024-12-20	6800.0	Call	NDX YOGZ79JNIP0U|NDX 31	2023-12-28 17:00:00	10365.90	10428.50	10365.50	10420.30	1.0	10320.90	10327.60	10253.50	10253.50	1.0	10343.400	10378.050	10309.500	10336.900	NaN
19	2024-01-05	16170.0	Call	NDXP YEWCQQMR0Y6M|NDX 31	2023-12-28 16:00:00	767.10	780.30	764.70	764.70	1.0	749.40	755.30	735.70	747.00	1.0	758.250	767.800	750.200	755.850	NaN
20	2024-01-05	16470.0	Put	NDXP 32E0CW6QWWT1Q|NDX 31	2023-12-28 16:00:00	20.00	20.50	19.00	20.30	6.0	18.40	18.80	17.80	18.80	11.0	19.200	19.650	18.400	19.550	NaN
21	2024-03-15	19900.0	Call	NDX YGTA13Q21AJY|NDX 31	2023-12-28 17:00:00	8.80	8.80	8.70	8.70	6.0	7.10	7.40	7.10	7.30	7.0	7.950	8.100	7.900	8.000	NaN
22	2024-03-15	12100.0	Put	NDX 32FXA6JCCX032|NDX 31	2023-12-28 17:00:00	13.40	13.40	13.10	13.30	4.0	11.70	11.80	11.60	11.70	4.0	12.550	12.600	12.350	12.500	NaN
23	2024-06-21	15700.0	Call	NDX YJHRU9DNH67I|NDX 31	2023-12-28 17:00:00	1931.70	2009.50	1928.80	1930.10	2.0	1915.50	1922.20	1843.90	1913.00	3.0	1923.600	1965.850	1886.350	1921.550	NaN
24	2024-03-15	19475.0	Put	NDX 32FXA9095ILIM|NDX 31	2023-12-28 17:00:00	2376.90	2456.30	2370.30	2456.30	1.0	2356.20	2357.00	2294.40	2294.40	1.0	2366.550	2406.650	2332.350	2375.350	NaN
25	2024-12-20	14900.0	Put	NDX 32NKZCPW91MEM|NDX 31	2023-12-28 17:00:00	522.40	524.00	521.10	523.90	10.0	506.10	506.20	504.80	506.20	1.0	514.250	515.100	512.950	515.050	NaN
26	2024-12-20	5100.0	Call	NDX YOGZ79GUB06M|NDX 31	2023-12-28 17:00:00	11973.40	12034.80	11973.00	12026.10	1.0	11927.60	11934.40	11860.00	11866.00	1.0	11950.500	11984.600	11916.500	11946.050	NaN
