
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2024-09-20	17000.0	Put	NDX 32L3DO7028XFY|NDX 31	2023-12-28 17:00:00	898.90	914.50	893.00	898.20	20.0	884.70	886.00	867.00	886.00	20.0	891.800	900.250	880.000	892.100	NaN
1	2024-03-15	19500.0	Put	NDX 32FXA6JOLHRQM|NDX 31	2023-12-28 17:00:00	2401.00	2472.60	2394.60	2472.60	1.0	2380.30	2381.20	2316.80	2316.80	1.0	2390.650	2426.900	2355.700	2394.700	NaN
2	2024-03-15	12500.0	Call	NDX YGTA13DTGIWE|NDX 31	2023-12-28 17:00:00	4563.20	4625.10	4562.10	4625.10	1.0	4542.10	4548.60	4463.10	4463.10	1.0	4552.650	4586.850	4512.600	4544.100	NaN
3	2024-09-20	12400.0	Call	NDX YLZDIRIJYS6M|NDX 31	2023-12-28 17:00:00	5033.50	5107.40	5032.70	5097.20	1.0	5008.60	5015.60	4939.20	4939.20	1.0	5021.050	5061.500	4985.950	5018.200	NaN
4	2023-12-29	17240.0	Put	NDXP 32DTGRJJGTAQ6|NDX 31	2023-12-28 16:00:00	339.10	342.00	332.00	340.80	1.0	323.60	325.70	315.60	325.70	1.0	331.350	333.850	323.800	333.250	NaN
5	2023-12-29	15460.0	Call	NDXP YEPGM2QTRWJY|NDX 31	2023-12-28 16:00:00	1459.50	1535.00	1458.60	1528.00	1.0	1438.60	1445.10	1363.60	1363.60	1.0	1449.050	1490.050	1411.100	1445.800	NaN
6	2024-09-20	11400.0	Put	NDX 32L3DO7G3P92M|NDX 31	2023-12-28 17:00:00	87.30	93.70	86.50	87.60	11.0	80.90	81.60	77.60	81.00	11.0	84.100	87.650	82.050	84.300	NaN
7	2023-12-29	16900.0	Call	NDXP YEPGLWF3J5PQ|NDX 31	2023-12-28 16:00:00	50.90	61.70	50.20	52.20	1.0	48.30	54.90	42.60	49.80	1.0	50.760	55.900	50.760	55.900	2.0
8	2023-12-29	9100.0	Put	NDXP 32DTGRC1EEV8U|NDX 31	2023-12-28 16:00:00	1.00	2.60	0.35	0.45	3.0	NaN	NaN	NaN	NaN	NaN	1.000	2.600	0.350	0.450	NaN
9	2024-03-15	10000.0	Put	NDX 32FXA6ISIL4HA|NDX 31	2023-12-28 17:00:00	5.70	5.70	5.50	5.60	4.0	4.10	4.20	3.60	4.10	4.0	4.900	4.950	4.550	4.850	NaN
10	2024-03-15	16300.0	Put	NDX 32FXA6JJAZ25Q|NDX 31	2023-12-28 17:00:00	252.20	259.70	249.90	252.80	21.0	248.30	248.80	240.70	248.80	1.0	250.250	254.250	245.300	250.800	NaN
11	2024-06-21	9600.0	Put	NDX 32ILRZP2RKKKU|NDX 31	2023-12-28 17:00:00	19.80	21.20	19.60	20.50	3.0	17.50	17.60	17.40	17.50	3.0	18.650	19.400	18.500	19.000	NaN
12	2023-12-29	13675.0	Call	NDXP YEPGNMGQNECU|NDX 31	2023-12-28 16:00:00	3242.80	3308.90	3241.30	3243.60	1.0	3222.40	3229.10	3147.00	3218.80	1.0	3232.600	3269.000	3194.150	3231.200	NaN
13	2023-12-29	10525.0	Put	NDXP 32DTGSNYZMW6M|NDX 31	2023-12-28 16:00:00	1.00	2.60	0.35	0.45	2.0	NaN	NaN	NaN	NaN	NaN	1.000	2.600	0.350	0.450	NaN
14	2023-12-29	15590.0	Put	NDXP 32DTGRIS6G2KU|NDX 31	2023-12-28 16:00:00	0.60	0.60	0.35	0.55	6.0	0.10	0.25	0.05	0.05	4.0	0.350	0.425	0.200	0.300	NaN
