
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2023-12-22	13075.0	Call	NDXP YEIKIW5BVALQ|NDX 31	2023-12-21 16:00:00	3681.80	3792.70	3678.40	3771.90	1.0	3664.50	3668.90	3577.20	3591.20	1.0	3673.150	3730.800	3627.800	3681.550	NaN
1	2023-12-22	13925.0	Put	NDXP 32DMKOG13TLYM|NDX 31	2023-12-21 16:00:00	0.30	0.50	0.30	0.40	7.0	NaN	NaN	NaN	NaN	NaN	0.300	0.500	0.300	0.400	NaN
2	2023-12-22	19475.0	Call	NDXP YEIKJPJRTENI|NDX 31	2023-12-21 16:00:00	0.40	20.00	0.40	0.50	2.0	NaN	NaN	NaN	NaN	NaN	0.400	20.000	0.400	0.500	NaN
3	2024-09-20	17000.0	Put	NDX 32L3DO7028XFY|NDX 31	2023-12-21 17:00:00	965.80	1037.90	963.10	964.50	2.0	954.60	957.40	875.90	945.50	2.0	960.200	997.650	919.500	955.000	NaN
4	2024-03-15	19500.0	Put	NDX 32FXA6JOLHRQM|NDX 31	2023-12-21 17:00:00	2544.50	2614.20	2539.70	2612.40	1.0	2528.60	2532.50	2448.50	2449.50	1.0	2536.550	2573.350	2494.100	2530.950	NaN
5	2024-03-15	12500.0	Call	NDX YGTA13DTGIWE|NDX 31	2023-12-21 17:00:00	4416.00	4495.90	4411.60	4493.60	1.0	4399.50	4403.90	4324.90	4335.40	1.0	4407.750	4449.900	4368.250	4414.500	NaN
6	2024-09-20	12400.0	Call	NDX YLZDIRIJYS6M|NDX 31	2023-12-21 17:00:00	4893.80	4971.90	4888.70	4966.30	1.0	4873.10	4879.10	4799.40	4809.80	1.0	4883.450	4925.500	4844.050	4888.050	NaN
7	2023-12-22	17200.0	Call	NDXP YEIKH8VEUVQM|NDX 31	2023-12-21 16:00:00	0.75	1.35	0.50	1.35	6.0	0.25	0.60	0.05	0.60	5.0	0.500	0.975	0.275	0.975	NaN
8	2024-09-20	11400.0	Put	NDX 32L3DO7G3P92M|NDX 31	2023-12-21 17:00:00	95.20	99.30	94.30	95.70	22.0	88.60	89.30	83.20	87.10	22.0	91.900	94.300	88.750	91.400	NaN
9	2023-12-22	15490.0	Call	NDXP YEIKHF753MKU|NDX 31	2023-12-21 16:00:00	1269.10	1372.50	1265.80	1366.00	1.0	1252.00	1256.40	1172.50	1172.50	1.0	1260.550	1314.450	1219.150	1269.250	NaN
10	2023-12-22	18050.0	Call	NDXP YEIKHGDH9B7Y|NDX 31	2023-12-21 16:00:00	0.25	0.40	0.25	0.40	5.0	NaN	NaN	NaN	NaN	NaN	0.250	0.400	0.250	0.400	NaN
11	2023-12-22	13750.0	Put	NDXP 32DMKMUDKF7DA|NDX 31	2023-12-21 16:00:00	1.85	1.85	0.30	0.40	1.0	NaN	NaN	NaN	NaN	NaN	1.850	1.850	0.300	0.400	NaN
