
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2023-12-29	15460.0	Call	NDXP YEPGM2QTRWJY|NDX 31	2023-12-26 16:00:00	1450.70	1509.60	1447.90	1509.60	1.0	1432.80	1436.50	1361.10	1361.10	1.0	1441.750	1473.050	1404.500	1435.350	NaN
1	2023-12-29	16900.0	Call	NDXP YEPGLWF3J5PQ|NDX 31	2023-12-26 16:00:00	91.80	95.60	86.30	88.80	2.0	83.20	87.30	80.00	84.00	2.0	87.500	91.450	83.150	86.400	NaN
2	2023-12-29	9100.0	Put	NDXP 32DTGRC1EEV8U|NDX 31	2023-12-26 16:00:00	1.25	2.60	0.45	0.60	1.0	NaN	NaN	NaN	NaN	NaN	1.250	2.600	0.450	0.600	NaN
3	2024-03-15	10000.0	Put	NDX 32FXA6ISIL4HA|NDX 31	2023-12-26 17:00:00	5.50	6.40	5.50	5.50	6.0	4.60	4.60	4.00	4.60	4.0	5.050	5.500	4.750	5.050	NaN
4	2023-12-29	18150.0	Put	NDXP 32DTGRJYILR7Y|NDX 31	2023-12-26 16:00:00	1256.10	1331.90	1252.00	1331.90	1.0	1238.00	1240.80	1169.90	1169.90	1.0	1247.050	1286.350	1210.950	1250.900	NaN
5	2024-12-20	5800.0	Put	NDX 32NKZCPH795WU|NDX 31	2023-12-26 17:00:00	15.70	21.50	15.70	20.00	1.0	8.90	8.90	5.50	5.50	1.0	12.300	15.200	10.600	12.750	NaN
6	2024-03-15	14725.0	Put	NDX 32FXA8EFL8QY6|NDX 31	2023-12-26 17:00:00	74.30	78.30	74.30	74.80	5.0	72.80	73.30	70.50	73.20	5.0	73.550	75.800	72.400	74.000	NaN
7	2023-12-29	14850.0	Put	NDXP 32DTGRIFXVAXA|NDX 31	2023-12-26 16:00:00	0.95	1.25	0.95	1.00	8.0	0.45	0.50	0.25	0.50	7.0	0.700	0.875	0.600	0.750	NaN
8	2023-12-29	17875.0	Put	NDXP 32DTGTLQJMZ5A|NDX 31	2023-12-26 16:00:00	981.60	996.20	977.30	996.20	1.0	963.50	966.30	950.70	955.90	1.0	972.550	981.250	964.000	976.050	NaN
9	2023-12-29	10800.0	Put	NDXP 32DTGRC47MK32|NDX 31	2023-12-26 16:00:00	1.25	2.25	0.45	0.60	1.0	NaN	NaN	NaN	NaN	NaN	1.250	2.250	0.450	0.600	NaN
