
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2024-09-20	17000.0	Put	NDX 32L3DO7028XFY|NDX 31	2023-12-22 17:00:00	956.40	1030.00	949.40	953.20	1.0	941.00	941.50	863.20	939.40	2.0	948.700	985.750	906.300	946.300	NaN
1	2024-03-15	19500.0	Put	NDX 32FXA6JOLHRQM|NDX 31	2023-12-22 17:00:00	2524.00	2585.50	2507.00	2585.50	1.0	2504.80	2507.00	2418.30	2430.80	1.0	2514.400	2546.250	2462.650	2508.150	NaN
2	2024-03-15	12500.0	Call	NDX YGTA13DTGIWE|NDX 31	2023-12-22 17:00:00	4441.10	4526.40	4438.90	4467.40	1.0	4422.00	4439.30	4357.60	4407.30	1.0	4431.550	4482.850	4398.250	4437.350	NaN
3	2024-09-20	12400.0	Call	NDX YLZDIRIJYS6M|NDX 31	2023-12-22 17:00:00	4915.70	4995.40	4914.50	4945.20	1.0	4889.50	4908.50	4829.20	4885.10	1.0	4902.600	4951.950	4871.850	4915.150	NaN
4	2023-12-29	17240.0	Put	NDXP 32DTGRJJGTAQ6|NDX 31	2023-12-22 16:00:00	463.00	465.00	447.10	452.60	1.0	447.10	449.20	431.70	435.40	1.0	455.050	457.100	439.400	444.000	NaN
5	2024-09-20	11400.0	Put	NDX 32L3DO7G3P92M|NDX 31	2023-12-22 17:00:00	92.80	96.80	92.50	93.40	13.0	86.00	86.70	80.60	84.80	13.0	89.400	91.750	86.550	89.100	NaN
6	2023-12-29	15460.0	Call	NDXP YEPGM2QTRWJY|NDX 31	2023-12-22 16:00:00	1341.30	1415.50	1339.80	1415.50	1.0	1323.10	1341.00	1261.40	1261.40	1.0	1332.200	1378.250	1300.600	1338.450	NaN
7	2023-12-29	16900.0	Call	NDXP YEPGLWF3J5PQ|NDX 31	2023-12-22 16:00:00	69.10	80.30	65.30	72.60	20.0	63.60	70.70	58.40	69.10	2.0	66.350	75.500	61.850	70.850	NaN
8	2023-12-29	9100.0	Put	NDXP 32DTGRC1EEV8U|NDX 31	2023-12-22 16:00:00	1.45	2.85	0.60	0.75	1.0	NaN	NaN	NaN	NaN	NaN	1.450	2.850	0.600	0.750	NaN
9	2024-03-15	10000.0	Put	NDX 32FXA6ISIL4HA|NDX 31	2023-12-22 17:00:00	6.00	6.30	5.90	6.30	6.0	4.80	4.80	4.60	4.70	4.0	5.400	5.550	5.250	5.500	NaN
10	2024-06-21	9600.0	Put	NDX 32ILRZP2RKKKU|NDX 31	2023-12-22 17:00:00	21.90	22.30	21.90	22.10	4.0	18.30	18.60	17.40	18.60	3.0	20.100	20.450	19.650	20.350	NaN
11	2024-06-21	18275.0	Put	NDX 32ILS20L8IVZI|NDX 31	2023-12-22 17:00:00	1455.60	1533.10	1443.30	1526.40	2.0	1439.80	1440.70	1369.90	1369.90	1.0	1447.700	1486.900	1406.600	1448.150	NaN
12	2023-12-29	13675.0	Call	NDXP YEPGNMGQNECU|NDX 31	2023-12-22 16:00:00	3123.30	3196.50	3121.00	3196.50	1.0	3104.30	3121.80	3046.80	3046.80	1.0	3113.800	3159.150	3083.900	3121.650	NaN
13	2023-12-29	10525.0	Put	NDXP 32DTGSNYZMW6M|NDX 31	2023-12-22 16:00:00	0.45	0.60	0.45	0.50	7.0	NaN	NaN	NaN	NaN	NaN	0.450	0.600	0.450	0.500	NaN
14	2023-12-29	15590.0	Put	NDXP 32DTGRIS6G2KU|NDX 31	2023-12-22 16:00:00	2.95	3.20	2.95	3.20	8.0	2.05	2.10	2.00	2.10	8.0	2.500	2.650	2.475	2.650	NaN
15	2023-12-29	18150.0	Put	NDXP 32DTGRJYILR7Y|NDX 31	2023-12-22 16:00:00	1366.60	1424.40	1349.20	1424.40	1.0	1348.00	1349.80	1274.40	1274.40	1.0	1357.300	1387.100	1311.800	1349.400	NaN
16	2024-06-21	18375.0	Put	NDX 32ILS211RWCXA|NDX 31	2023-12-22 17:00:00	1522.50	1599.70	1509.80	1592.90	2.0	1506.10	1507.10	1436.30	1436.30	1.0	1514.300	1553.400	1473.050	1514.600	NaN
17	2023-12-29	16370.0	Call	NDXP YEPGM35VKD1Q|NDX 31	2023-12-22 16:00:00	445.70	462.10	444.40	459.40	1.0	430.40	446.30	428.30	443.30	1.0	438.050	454.200	436.350	451.350	NaN
18	2023-12-29	11250.0	Call	NDXP YEPGM0T78ZRI|NDX 31	2023-12-22 16:00:00	5545.20	5618.00	5543.00	5618.00	1.0	5526.60	5544.00	5464.20	5468.50	1.0	5535.900	5581.000	5503.600	5543.250	NaN
19	2023-12-29	20075.0	Call	NDXP YEPGOFV6LIEM|NDX 31	2023-12-22 16:00:00	0.45	2.80	0.45	0.50	9.0	NaN	NaN	NaN	NaN	NaN	0.450	2.800	0.450	0.500	NaN
20	2023-12-29	16925.0	Put	NDXP 32DTGTHDFL08E|NDX 31	2023-12-22 16:00:00	196.00	198.00	185.30	189.70	1.0	183.00	184.50	171.30	174.60	1.0	189.500	191.250	178.300	182.150	NaN
21	2024-03-15	13375.0	Call	NDX YGTA2S94F2WE|NDX 31	2023-12-22 17:00:00	3589.90	3676.10	3588.10	3617.20	1.0	3571.10	3588.40	3507.80	3557.10	1.0	3580.500	3632.250	3547.950	3587.150	NaN
22	2024-12-20	5800.0	Put	NDX 32NKZCPH795WU|NDX 31	2023-12-22 17:00:00	17.10	21.40	16.80	20.00	5.0	8.30	8.60	5.80	5.80	5.0	12.700	15.000	11.300	12.900	NaN
23	2024-03-15	14725.0	Put	NDX 32FXA8EFL8QY6|NDX 31	2023-12-22 17:00:00	84.70	91.30	84.00	84.80	5.0	82.80	82.80	75.00	81.80	2.0	83.750	87.050	79.500	83.300	NaN
24	2024-12-20	6800.0	Call	NDX YOGZ79JNIP0U|NDX 31	2023-12-22 17:00:00	10235.40	10303.20	10234.00	10303.20	1.0	10194.50	10214.00	10131.50	10145.40	1.0	10214.950	10258.600	10182.750	10224.300	NaN
25	2023-12-29	18200.0	Put	NDXP 32DTGRCGG7BQM|NDX 31	2023-12-22 16:00:00	1416.50	1474.00	1399.20	1474.00	1.0	1397.90	1399.70	1324.30	1324.30	1.0	1407.200	1436.850	1361.750	1399.150	NaN
26	2024-03-15	19900.0	Call	NDX YGTA13Q21AJY|NDX 31	2023-12-22 17:00:00	9.90	10.30	9.90	10.30	7.0	8.70	8.70	8.60	8.60	5.0	9.300	9.500	9.250	9.450	NaN
27	2024-03-15	12100.0	Put	NDX 32FXA6JCCX032|NDX 31	2023-12-22 17:00:00	15.70	16.00	15.60	16.00	4.0	14.40	14.40	14.10	14.20	4.0	15.050	15.200	14.850	15.100	NaN
28	2024-06-21	15700.0	Call	NDX YJHRU9DNH67I|NDX 31	2023-12-22 17:00:00	1847.40	1927.20	1844.60	1858.20	1.0	1830.30	1845.90	1771.90	1838.20	2.0	1838.850	1886.550	1808.250	1848.200	NaN
29	2024-03-15	19475.0	Put	NDX 32FXA9095ILIM|NDX 31	2023-12-22 17:00:00	2500.00	2558.80	2482.90	2558.80	1.0	2480.70	2482.90	2395.20	2407.50	1.0	2490.350	2520.850	2439.050	2483.150	NaN
30	2024-12-20	14900.0	Put	NDX 32NKZCPW91MEM|NDX 31	2023-12-22 17:00:00	545.20	545.20	541.10	542.40	5.0	527.40	527.40	523.40	524.80	2.0	536.300	536.300	532.250	533.600	NaN
31	2024-12-20	5100.0	Call	NDX YOGZ79GUB06M|NDX 31	2023-12-22 17:00:00	11841.90	11914.80	11840.50	11909.40	1.0	11800.30	11819.50	11738.00	11751.50	1.0	11821.100	11867.150	11789.250	11830.450	NaN
32	2024-06-21	16250.0	Call	NDX YJHRUG4FIDJI|NDX 31	2023-12-22 17:00:00	1443.60	1520.20	1441.10	1452.50	2.0	1427.30	1441.80	1357.00	1436.10	1.0	1435.450	1481.000	1399.050	1444.300	NaN
33	2023-12-29	11000.0	Put	NDXP 32DTGRBO668GE|NDX 31	2023-12-22 16:00:00	0.45	0.60	0.45	0.50	7.0	NaN	NaN	NaN	NaN	NaN	0.450	0.600	0.450	0.500	NaN
34	2024-03-15	18450.0	Put	NDX 32FXA6R9H3W26|NDX 31	2023-12-22 17:00:00	1548.60	1616.60	1533.10	1610.80	1.0	1531.50	1533.10	1445.60	1455.90	1.0	1540.050	1574.850	1489.350	1533.350	NaN
35	2024-09-20	10700.0	Call	NDX YLZDIRFQR3CE|NDX 31	2023-12-22 17:00:00	6479.80	6559.20	6478.30	6508.00	1.0	6454.70	6472.50	6389.30	6447.90	1.0	6467.250	6515.850	6433.800	6477.950	NaN
36	2023-12-29	11475.0	Put	NDXP 32DTGSSC3OV3I|NDX 31	2023-12-22 16:00:00	0.50	0.55	0.45	0.55	9.0	NaN	NaN	NaN	NaN	NaN	0.500	0.550	0.450	0.550	NaN
37	2023-12-29	12725.0	Call	NDXP YEPGNI3MLFFY|NDX 31	2023-12-22 16:00:00	4071.40	4144.80	4069.80	4144.80	1.0	4053.00	4070.60	3992.60	3992.60	1.0	4062.200	4107.700	4031.200	4068.700	NaN
38	2023-12-29	14850.0	Put	NDXP 32DTGRIFXVAXA|NDX 31	2023-12-22 16:00:00	1.75	1.95	1.75	1.95	9.0	0.85	0.90	0.85	0.90	7.0	1.300	1.425	1.300	1.425	NaN
39	2023-12-29	17410.0	Put	NDXP 32DTGRJMA0ZKE|NDX 31	2023-12-22 16:00:00	628.80	628.90	611.50	617.30	1.0	611.90	614.20	594.60	600.40	2.0	620.350	621.550	603.050	608.850	NaN
40	2023-12-29	17110.0	Call	NDXP YEPGM3I454PA|NDX 31	2023-12-22 16:00:00	18.80	29.00	18.60	21.20	4.0	17.50	20.20	12.90	19.40	6.0	18.150	24.600	15.750	20.300	NaN
41	2023-12-29	14550.0	Call	NDXP YEPGM2BRZG26|NDX 31	2023-12-22 16:00:00	2249.10	2334.10	2247.60	2331.50	1.0	2230.80	2248.10	2173.50	2173.50	1.0	2239.950	2291.100	2210.550	2252.500	NaN
42	2023-12-29	17875.0	Put	NDXP 32DTGTLQJMZ5A|NDX 31	2023-12-22 16:00:00	1092.20	1099.60	1074.90	1091.50	1.0	1073.30	1075.50	1046.50	1049.00	1.0	1082.750	1087.550	1060.700	1070.250	NaN
43	2023-12-29	19125.0	Call	NDXP YEPGOBI2JJHQ|NDX 31	2023-12-22 16:00:00	0.50	0.60	0.50	0.60	9.0	NaN	NaN	NaN	NaN	NaN	0.500	0.600	0.500	0.600	NaN
44	2024-06-21	14175.0	Call	NDX YJHRW1RYWS4U|NDX 31	2023-12-22 17:00:00	3112.30	3184.40	3110.80	3184.40	1.0	3093.30	3110.40	3030.00	3030.00	1.0	3102.800	3147.400	3070.400	3107.200	NaN
45	2024-03-15	18825.0	Call	NDX YGTA3HAGB81A|NDX 31	2023-12-22 17:00:00	44.90	46.40	44.90	46.20	10.0	43.30	44.10	43.30	43.90	15.0	44.100	45.250	44.100	45.050	NaN
