
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2023-12-15	9750.0	Call	NDX YEBOCP01483Y|NDX 31	2023-12-01 17:00:00	6274.50	6374.60	6256.90	6281.90	1.0	6260.00	6260.60	6161.30	6240.80	1.0	6267.250	6317.600	6209.100	6261.350	NaN
1	2024-06-21	9900.0	Put	NDX 32ILRZP39FKQ6|NDX 31	2023-12-01 17:00:00	32.40	39.40	32.00	32.60	1.0	28.00	29.20	23.50	28.50	1.0	30.200	34.300	27.750	30.550	NaN
2	2024-06-21	17700.0	Call	NDX YJHRU9GYJV72|NDX 31	2023-12-01 17:00:00	341.00	346.50	335.30	339.30	4.0	334.20	335.20	323.20	332.30	10.0	337.600	340.850	329.250	335.800	NaN
3	2023-12-15	16250.0	Put	NDX 32DFOI7YQBLLA|NDX 31	2023-12-01 17:00:00	316.30	331.60	315.70	323.20	1.0	306.40	319.50	299.40	308.00	1.0	311.350	325.550	307.550	315.600	NaN
4	2024-03-15	10100.0	Put	NDX 32FXA6J91UB3I|NDX 31	2023-12-01 17:00:00	9.80	10.10	9.70	9.70	1.0	8.30	8.50	7.40	8.40	9.0	9.050	9.300	8.550	9.050	NaN
5	2023-12-15	13525.0	Call	NDX YEBOEANKIMPA|NDX 31	2023-12-01 17:00:00	2510.00	2604.00	2492.40	2517.50	1.0	2495.60	2496.20	2392.70	2476.10	1.0	2502.800	2550.100	2442.550	2496.800	NaN
6	2023-12-15	13000.0	Call	NDX YEBOCKKXQIXA|NDX 31	2023-12-01 17:00:00	3033.40	3129.60	3015.60	3043.20	1.0	3018.80	3019.10	2917.50	2999.20	1.0	3026.100	3074.350	2966.550	3021.200	NaN
7	2024-09-20	17800.0	Call	NDX YLZDIRRHGUUM|NDX 31	2023-12-01 17:00:00	569.40	580.90	564.00	568.60	1.0	554.10	554.80	535.10	550.70	1.0	561.750	567.850	549.550	559.650	NaN
8	2023-12-08	16330.0	Call	NDXP YE4S84GO56HA|NDX 31	2023-12-01 16:00:00	27.20	32.60	23.10	25.20	10.0	22.50	25.00	15.60	23.90	10.0	24.850	28.800	19.350	24.550	NaN
9	2023-12-08	15975.0	Call	NDXP YE4S9YCKNDKE|NDX 31	2023-12-01 16:00:00	148.90	155.90	135.90	150.10	1.0	139.20	145.40	127.70	140.00	1.0	144.050	150.650	131.800	145.050	NaN
10	2023-12-08	16030.0	Put	NDXP 32D8SDKAWSYDQ|NDX 31	2023-12-01 16:00:00	134.90	148.00	129.60	142.30	2.0	125.60	139.40	121.20	132.00	2.0	130.250	143.700	125.400	137.150	NaN
11	2023-12-08	17225.0	Put	NDXP 32D8SFK2I3KOE|NDX 31	2023-12-01 16:00:00	1218.90	1301.80	1218.60	1237.90	1.0	1201.50	1218.80	1123.30	1188.00	1.0	1210.200	1260.300	1170.950	1212.950	NaN
12	2023-12-15	16520.0	Call	NDX YEBOCS3ZSTJI|NDX 31	2023-12-01 17:00:00	35.20	40.50	31.50	33.20	10.0	30.90	33.30	22.90	32.30	10.0	33.050	36.900	27.200	32.750	NaN
13	2023-12-15	15700.0	Put	NDX 32DFOI17YAE9A|NDX 31	2023-12-01 17:00:00	76.40	86.70	74.40	76.70	14.0	71.50	78.20	66.80	75.30	15.0	73.950	82.450	70.600	76.000	NaN
14	2023-12-15	14175.0	Put	NDX 32DFOJTM9Q06M|NDX 31	2023-12-01 17:00:00	4.30	6.90	4.20	4.50	27.0	3.60	3.80	3.10	3.10	26.0	3.950	5.350	3.650	3.800	NaN
15	2023-12-15	15340.0	Put	NDX 32DFOI7JOJ53I|NDX 31	2023-12-01 17:00:00	26.70	33.20	26.60	28.00	12.0	25.60	27.40	22.30	25.90	13.0	26.150	30.300	24.450	26.950	NaN
16	2024-03-15	19200.0	Put	NDX 32FXA6JO3MRLA|NDX 31	2023-12-01 17:00:00	2939.70	3023.60	2938.90	2957.70	1.0	2924.50	2942.40	2851.20	2918.20	1.0	2932.100	2983.000	2895.050	2937.950	NaN
17	2024-03-15	14375.0	Put	NDX 32FXA8CTPFLNY|NDX 31	2023-12-01 17:00:00	136.60	144.60	135.90	137.50	7.0	134.20	136.30	127.00	135.00	10.0	135.400	140.450	131.450	136.250	NaN
18	2024-03-15	13725.0	Call	NDX YGTA2TV0886M|NDX 31	2023-12-01 17:00:00	2556.80	2630.80	2539.80	2563.20	1.0	2542.70	2543.40	2462.20	2510.70	1.0	2549.750	2587.100	2501.000	2536.950	NaN
19	2023-12-08	15420.0	Call	NDXP YE4S841MCPZI|NDX 31	2023-12-01 16:00:00	610.20	627.50	593.60	617.50	1.0	593.90	594.00	566.60	581.40	1.0	602.050	610.750	580.100	599.450	NaN
20	2023-12-08	15120.0	Put	NDXP 32D8SDJVV0HVY|NDX 31	2023-12-01 16:00:00	4.10	4.50	4.10	4.50	18.0	3.30	3.60	3.10	3.10	17.0	3.700	4.050	3.600	3.800	NaN
21	2023-12-08	16500.0	Call	NDXP YE4S7XPW3Z5A|NDX 31	2023-12-01 16:00:00	10.00	10.00	8.90	10.00	13.0	9.10	9.10	7.60	8.40	14.0	9.550	9.550	8.250	9.200	NaN
22	2023-12-08	13500.0	Put	NDXP 32D8SDDK4RR1Q|NDX 31	2023-12-01 16:00:00	0.95	1.00	0.90	0.90	15.0	0.35	0.40	0.25	0.35	15.0	0.650	0.700	0.575	0.625	NaN
23	2023-12-15	16690.0	Call	NDX YEBOCS6T0IDQ|NDX 31	2023-12-01 17:00:00	17.10	20.70	15.70	16.90	15.0	16.20	16.30	14.90	15.10	17.0	16.650	18.500	15.300	16.000	NaN
24	2023-12-15	6600.0	Put	NDX 32DFOI0SWHXRI|NDX 31	2023-12-01 17:00:00	0.35	0.35	0.35	0.35	2.0	NaN	NaN	NaN	NaN	NaN	0.350	0.350	0.350	0.350	NaN
25	2024-03-15	14500.0	Call	NDX YGTA13H4J7VY|NDX 31	2023-12-01 17:00:00	1859.90	1936.10	1843.90	1867.20	1.0	1846.80	1847.40	1763.10	1826.90	1.0	1853.350	1891.750	1803.500	1847.050	NaN
26	2024-03-15	17500.0	Put	NDX 32FXA6JLAF2R2|NDX 31	2023-12-01 17:00:00	1382.70	1465.50	1381.90	1417.40	1.0	1370.00	1384.90	1295.60	1360.90	1.0	1376.350	1425.200	1338.750	1389.150	NaN
27	2024-09-20	13400.0	Put	NDX 32L3DO7JERY26|NDX 31	2023-12-01 17:00:00	295.30	298.90	295.10	297.50	1.0	283.40	285.00	279.30	280.60	11.0	289.350	291.950	287.200	289.050	NaN
28	2023-12-15	13225.0	Put	NDX 32DFOJP95O19Q|NDX 31	2023-12-01 17:00:00	2.25	2.45	2.20	2.20	24.0	1.70	1.80	0.75	1.30	18.0	1.975	2.125	1.475	1.750	NaN
29	2023-12-15	14475.0	Call	NDX YEBOEF0OKLM6|NDX 31	2023-12-01 17:00:00	1564.40	1660.00	1546.80	1571.20	1.0	1550.10	1550.70	1440.70	1531.50	1.0	1557.250	1605.350	1493.750	1551.350	NaN
30	2024-09-20	10400.0	Call	NDX YLZDIRF8W372|NDX 31	2023-12-01 17:00:00	6041.90	6117.60	6023.80	6107.80	1.0	6015.30	6016.20	5937.30	5949.30	1.0	6028.600	6066.900	5980.550	6028.550	NaN
