
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2023-12-22	13075.0	Call	NDXP YEIKIW5BVALQ|NDX 31	2023-12-19 16:00:00	3754.00	3821.00	3748.90	3821.00	1.0	3737.60	3745.20	3655.40	3655.40	1.0	3745.800	3783.100	3702.150	3738.200	NaN
1	2023-12-22	18050.0	Call	NDXP YEIKHGDH9B7Y|NDX 31	2023-12-19 16:00:00	0.55	0.65	0.50	0.60	8.0	0.05	0.05	0.05	0.05	1.0	0.300	0.350	0.275	0.325	NaN
2	2024-03-15	10000.0	Put	NDX 32FXA6ISIL4HA|NDX 31	2023-12-19 17:00:00	6.50	6.50	6.20	6.20	10.0	5.10	5.20	5.00	5.20	5.0	5.800	5.850	5.600	5.700	NaN
3	2023-12-22	16300.0	Put	NDXP 32DMKMOT4JOOE|NDX 31	2023-12-19 16:00:00	3.50	3.80	3.40	3.80	5.0	2.65	2.90	2.65	2.85	6.0	3.250	3.250	3.250	3.250	1.0
4	2024-03-15	14725.0	Put	NDX 32FXA8EFL8QY6|NDX 31	2023-12-19 17:00:00	80.20	83.80	79.80	80.10	2.0	77.90	78.20	74.20	77.70	2.0	79.050	81.000	77.000	78.900	NaN
5	2023-12-22	18525.0	Call	NDXP YEIKJL6NRFQM|NDX 31	2023-12-19 16:00:00	0.45	0.55	0.45	0.45	7.0	NaN	NaN	NaN	NaN	NaN	0.450	0.550	0.450	0.450	NaN
6	2023-12-22	14875.0	Put	NDXP 32DMKOKE7VKVI|NDX 31	2023-12-19 16:00:00	0.65	0.75	0.65	0.70	5.0	0.05	0.05	0.05	0.05	1.0	0.350	0.400	0.350	0.375	NaN
7	2023-12-22	15570.0	Put	NDXP 32DMKMV7O04CU|NDX 31	2023-12-19 16:00:00	1.30	1.50	1.30	1.45	6.0	0.55	0.65	0.50	0.65	5.0	0.925	1.075	0.900	1.050	NaN
8	2024-06-21	15300.0	Put	NDX 32ILRZPC6XNE6|NDX 31	2023-12-19 17:00:00	313.90	320.50	313.00	314.00	8.0	308.40	309.30	301.90	307.00	11.0	311.150	314.900	307.450	310.500	NaN
9	2024-09-20	17100.0	Put	NDX 32L3DO7PJ2BVY|NDX 31	2023-12-19 17:00:00	960.20	1028.30	955.90	958.80	1.0	948.30	950.10	866.30	940.80	2.0	954.250	989.200	911.100	949.800	NaN
