
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2023-12-15	9750.0	Call	NDX YEBOCP01483Y|NDX 31	2023-12-05 17:00:00	6158.30	6179.20	6154.10	6161.40	1.0	6148.10	6157.80	6119.10	6119.10	1.0	6153.200	6168.500	6136.600	6140.250	NaN
1	2024-06-21	9900.0	Put	NDX 32ILRZP39FKQ6|NDX 31	2023-12-05 17:00:00	34.40	41.60	34.20	35.30	2.0	30.80	31.80	25.50	31.30	2.0	32.600	36.700	29.850	33.300	NaN
2	2024-06-21	17700.0	Call	NDX YJHRU9GYJV72|NDX 31	2023-12-05 17:00:00	305.10	311.80	304.60	305.00	2.0	299.90	302.10	293.20	298.90	10.0	302.500	306.950	298.900	301.950	NaN
3	2023-12-15	16250.0	Put	NDX 32DFOI7YQBLLA|NDX 31	2023-12-05 17:00:00	390.30	397.90	383.10	397.90	1.0	381.50	385.20	368.90	379.90	1.0	385.900	391.550	376.000	388.900	NaN
4	2024-03-15	10100.0	Put	NDX 32FXA6J91UB3I|NDX 31	2023-12-05 17:00:00	10.80	10.80	10.60	10.80	6.0	8.90	9.10	8.90	9.10	7.0	9.850	9.950	9.750	9.950	NaN
5	2023-12-15	13525.0	Call	NDX YEBOEANKIMPA|NDX 31	2023-12-05 17:00:00	2392.50	2414.80	2388.50	2396.00	1.0	2382.30	2392.10	2354.70	2354.70	1.0	2387.400	2403.450	2371.600	2375.350	NaN
6	2023-12-15	13000.0	Call	NDX YEBOCKKXQIXA|NDX 31	2023-12-05 17:00:00	2915.90	2938.00	2911.80	2916.90	1.0	2905.70	2915.50	2877.90	2877.90	1.0	2910.800	2926.750	2894.850	2897.400	NaN
7	2024-09-20	17800.0	Call	NDX YLZDIRRHGUUM|NDX 31	2023-12-05 17:00:00	524.30	540.70	522.80	522.80	11.0	511.50	514.90	496.50	497.60	11.0	517.900	527.800	509.650	510.200	NaN
8	2023-12-08	16330.0	Call	NDXP YE4S84GO56HA|NDX 31	2023-12-05 16:00:00	7.00	7.60	6.90	7.20	9.0	6.20	6.80	6.20	6.30	24.0	6.600	7.200	6.550	6.750	NaN
9	2023-12-08	15975.0	Call	NDXP YE4S9YCKNDKE|NDX 31	2023-12-05 16:00:00	69.60	79.50	66.40	68.20	12.0	65.60	70.40	58.60	65.00	1.0	67.600	74.950	62.500	66.600	NaN
10	2023-12-08	16030.0	Put	NDXP 32D8SDKAWSYDQ|NDX 31	2023-12-05 16:00:00	183.80	190.10	177.40	190.10	1.0	176.00	179.10	165.40	174.80	1.0	179.900	184.600	171.400	182.450	NaN
11	2023-12-08	17225.0	Put	NDXP 32D8SFK2I3KOE|NDX 31	2023-12-05 16:00:00	1331.30	1406.50	1321.90	1367.10	1.0	1320.70	1324.80	1241.20	1307.20	1.0	1326.000	1365.650	1281.550	1337.150	NaN
12	2023-12-15	16520.0	Call	NDX YEBOCS3ZSTJI|NDX 31	2023-12-05 17:00:00	16.60	17.40	16.40	16.60	18.0	15.60	16.40	15.40	15.60	10.0	16.100	16.900	15.900	16.100	NaN
13	2023-12-15	15700.0	Put	NDX 32DFOI17YAE9A|NDX 31	2023-12-05 17:00:00	92.50	100.60	88.90	93.40	4.0	90.20	91.90	83.10	91.00	5.0	91.350	96.250	86.000	92.200	NaN
14	2023-12-15	15340.0	Put	NDX 32DFOI7JOJ53I|NDX 31	2023-12-05 17:00:00	30.30	30.90	29.30	30.90	9.0	29.00	29.80	28.20	29.60	10.0	29.650	30.350	28.750	30.250	NaN
15	2023-12-15	14175.0	Put	NDX 32DFOJTM9Q06M|NDX 31	2023-12-05 17:00:00	4.20	4.50	4.10	4.30	21.0	3.40	3.60	3.00	3.50	15.0	3.800	4.050	3.550	3.900	NaN
16	2024-03-15	19200.0	Put	NDX 32FXA6JO3MRLA|NDX 31	2023-12-05 17:00:00	3051.00	3080.20	3040.80	3079.80	1.0	3039.30	3043.40	3020.10	3034.40	1.0	3045.150	3061.800	3030.450	3057.100	NaN
17	2024-03-15	14375.0	Put	NDX 32FXA8CTPFLNY|NDX 31	2023-12-05 17:00:00	150.10	157.20	148.90	151.20	13.0	146.80	147.40	141.00	147.20	3.0	148.450	152.300	144.950	149.200	NaN
18	2023-12-08	15420.0	Call	NDXP YE4S841MCPZI|NDX 31	2023-12-05 16:00:00	490.10	504.50	486.20	491.50	1.0	479.90	489.20	473.20	473.20	1.0	485.000	496.850	479.700	482.350	NaN
19	2024-03-15	13725.0	Call	NDX YGTA2TV0886M|NDX 31	2023-12-05 17:00:00	2449.90	2475.10	2446.10	2452.40	1.0	2439.20	2448.60	2412.40	2412.40	1.0	2444.550	2461.850	2429.250	2432.400	NaN
20	2023-12-08	15120.0	Put	NDXP 32D8SDJVV0HVY|NDX 31	2023-12-05 16:00:00	2.85	4.20	2.80	3.10	12.0	2.20	2.40	1.70	2.35	11.0	2.525	3.300	2.250	2.725	NaN
21	2023-12-08	16500.0	Call	NDXP YE4S7XPW3Z5A|NDX 31	2023-12-05 16:00:00	3.40	3.60	3.40	3.50	15.0	2.80	3.10	2.15	2.90	13.0	3.100	3.350	2.775	3.200	NaN
22	2023-12-08	13500.0	Put	NDXP 32D8SDDK4RR1Q|NDX 31	2023-12-05 16:00:00	0.65	0.70	0.65	0.70	15.0	0.05	0.20	0.05	0.20	17.0	0.350	0.450	0.350	0.450	NaN
23	2023-12-15	16690.0	Call	NDX YEBOCS6T0IDQ|NDX 31	2023-12-05 17:00:00	8.60	8.80	8.40	8.60	27.0	7.70	8.10	7.70	7.80	16.0	8.150	8.450	8.050	8.200	NaN
24	2023-12-15	6600.0	Put	NDX 32DFOI0SWHXRI|NDX 31	2023-12-05 17:00:00	0.30	0.30	0.30	0.30	2.0	NaN	NaN	NaN	NaN	NaN	0.300	0.300	0.300	0.300	NaN
25	2024-03-15	14500.0	Call	NDX YGTA13H4J7VY|NDX 31	2023-12-05 17:00:00	1759.20	1786.10	1755.80	1762.30	1.0	1749.40	1758.00	1703.00	1703.00	1.0	1754.300	1772.050	1729.400	1732.650	NaN
26	2024-03-15	17500.0	Put	NDX 32FXA6JLAF2R2|NDX 31	2023-12-05 17:00:00	1474.60	1515.10	1466.60	1515.10	1.0	1464.30	1468.20	1439.40	1462.30	1.0	1469.450	1491.650	1453.000	1488.700	NaN
27	2024-09-20	13400.0	Put	NDX 32L3DO7JERY26|NDX 31	2023-12-05 17:00:00	309.70	312.60	307.90	309.90	11.0	299.80	299.80	293.60	299.80	11.0	304.750	306.200	300.750	304.850	NaN
28	2023-12-15	13225.0	Put	NDX 32DFOJP95O19Q|NDX 31	2023-12-05 17:00:00	1.90	2.25	1.90	2.05	17.0	1.20	1.40	1.00	1.40	17.0	1.550	1.825	1.450	1.725	NaN
29	2023-12-15	14475.0	Call	NDX YEBOEF0OKLM6|NDX 31	2023-12-05 17:00:00	1446.90	1469.50	1442.80	1448.20	1.0	1436.70	1446.10	1409.40	1409.40	1.0	1441.800	1457.800	1426.100	1428.800	NaN
30	2024-09-20	10400.0	Call	NDX YLZDIRF8W372|NDX 31	2023-12-05 17:00:00	5933.60	6019.00	5929.80	6007.50	1.0	5911.80	5921.40	5845.50	5845.60	1.0	5922.700	5970.200	5887.650	5926.550	NaN
31	2023-12-08	11775.0	Put	NDXP 32D8SEV167FJI|NDX 31	2023-12-05 16:00:00	0.30	0.75	0.30	0.35	11.0	NaN	NaN	NaN	NaN	NaN	0.300	0.750	0.300	0.350	NaN
32	2023-12-08	11950.0	Call	NDXP YE4S82G8EKUM|NDX 31	2023-12-05 16:00:00	3950.70	4026.10	3946.50	3952.60	1.0	3940.30	3950.50	3864.20	3912.30	1.0	3945.500	3988.300	3905.350	3932.450	NaN
33	2023-12-08	15025.0	Call	NDXP YE4S9TZGLENI|NDX 31	2023-12-05 16:00:00	880.60	899.20	876.30	887.30	1.0	870.30	879.60	852.70	852.70	1.0	875.450	889.400	864.500	870.000	NaN
34	2023-12-08	15290.0	Put	NDXP 32D8SDJYO86Q6|NDX 31	2023-12-05 16:00:00	4.30	5.10	4.30	4.60	12.0	3.50	3.80	2.10	3.80	13.0	3.900	4.450	3.200	4.200	NaN
35	2023-12-08	17850.0	Put	NDXP 32D8SDL50DVDA|NDX 31	2023-12-05 16:00:00	1955.40	2030.20	1945.30	1991.30	1.0	1944.90	1949.00	1865.40	1931.40	1.0	1950.150	1989.600	1905.350	1961.350	NaN
36	2023-12-08	18175.0	Put	NDXP 32D8SFOFM5JLA|NDX 31	2023-12-05 16:00:00	2280.20	2356.50	2270.70	2316.20	1.0	2269.50	2273.60	2189.90	2256.10	1.0	2274.850	2315.050	2230.300	2286.150	NaN
37	2023-12-08	15200.0	Put	NDXP 32D8SDDMXZFVY|NDX 31	2023-12-05 16:00:00	3.40	3.60	3.40	3.60	13.0	2.70	2.90	2.70	2.90	9.0	3.050	3.250	3.050	3.250	NaN
38	2023-12-15	15780.0	Call	NDX YEBOCRRR81VY|NDX 31	2023-12-05 17:00:00	253.90	265.20	251.90	256.70	1.0	247.20	253.70	241.00	241.50	1.0	250.550	259.450	246.450	249.100	NaN
39	2024-06-21	11600.0	Put	NDX 32ILRZP62N9KE|NDX 31	2023-12-05 17:00:00	77.50	85.20	76.60	77.80	11.0	73.50	73.70	69.10	73.10	11.0	75.500	79.450	72.850	75.450	NaN
40	2024-06-21	8600.0	Call	NDX YJHRU91WREPA|NDX 31	2023-12-05 17:00:00	7516.20	7601.50	7511.70	7584.40	1.0	7501.20	7511.10	7414.70	7414.70	1.0	7508.700	7556.300	7463.200	7499.550	NaN
41	2023-12-15	16080.0	Put	NDX 32DFOI7VX3WR2|NDX 31	2023-12-05 17:00:00	267.70	274.40	262.10	274.40	1.0	260.20	263.50	249.00	259.70	1.0	263.950	268.950	255.550	267.050	NaN
42	2024-06-21	19000.0	Put	NDX 32ILRZOQ16XXQ|NDX 31	2023-12-05 17:00:00	2693.10	2777.30	2684.80	2777.30	1.0	2679.20	2683.40	2595.10	2609.00	1.0	2686.150	2730.350	2639.950	2693.150	NaN
43	2023-12-08	16160.0	Call	NDXP YE4S84DUXHN2|NDX 31	2023-12-05 16:00:00	20.60	27.70	20.10	21.00	2.0	19.40	21.40	13.90	19.10	9.0	20.000	24.550	17.000	20.050	NaN
44	2024-03-15	13425.0	Put	NDX 32FXA88GLDMR2|NDX 31	2023-12-05 17:00:00	74.30	74.70	73.70	74.60	20.0	71.40	71.80	71.10	71.80	69.0	72.850	73.250	72.400	73.200	NaN
45	2024-03-15	14675.0	Call	NDX YGTA2Y84A73I|NDX 31	2023-12-05 17:00:00	1610.60	1638.20	1607.30	1615.00	1.0	1601.10	1608.60	1555.20	1555.20	1.0	1605.850	1623.400	1581.250	1585.100	NaN
46	2023-12-15	15950.0	Call	NDX YEBOCRUKFQQ6|NDX 31	2023-12-05 17:00:00	155.20	167.30	153.20	155.00	3.0	152.60	158.10	146.30	152.00	2.0	153.900	162.700	149.750	153.500	NaN
47	2024-03-15	7100.0	Call	NDX YGTA134VYG8E|NDX 31	2023-12-05 17:00:00	8883.40	8904.60	8879.20	8900.80	1.0	8871.60	8881.60	8844.50	8844.50	1.0	8877.500	8893.100	8861.850	8872.650	NaN
48	2023-12-15	10050.0	Put	NDX 32DFOI54702Z2|NDX 31	2023-12-05 17:00:00	0.35	0.40	0.35	0.40	13.0	NaN	NaN	NaN	NaN	NaN	0.350	0.400	0.350	0.400	NaN
49	2023-12-15	15170.0	Put	NDX 32DFOI7GVBG9A|NDX 31	2023-12-05 17:00:00	18.70	19.10	18.20	19.10	12.0	17.60	18.20	17.30	18.00	33.0	18.150	18.650	17.750	18.550	NaN
50	2024-09-20	16800.0	Put	NDX 32L3DO7P17BQM|NDX 31	2023-12-05 17:00:00	1230.30	1296.20	1225.70	1232.70	3.0	1215.20	1217.80	1131.10	1189.50	2.0	1222.750	1257.000	1178.400	1211.100	NaN
51	2023-12-15	15425.0	Call	NDX YEBOEJDSMKJ2|NDX 31	2023-12-05 17:00:00	531.70	547.50	528.30	534.70	1.0	522.40	531.40	506.20	517.00	1.0	527.050	539.450	517.250	525.850	NaN
52	2023-12-15	12275.0	Put	NDX 32DFOJKW1M2CU|NDX 31	2023-12-05 17:00:00	1.00	1.05	1.00	1.05	17.0	0.40	0.45	0.40	0.45	3.0	0.700	0.750	0.700	0.750	NaN
53	2023-12-15	9025.0	Call	NDX YEBODPZCOGHA|NDX 31	2023-12-05 17:00:00	6881.80	6904.40	6877.20	6895.70	1.0	6872.00	6881.60	6844.30	6844.30	1.0	6876.900	6893.000	6860.750	6870.000	NaN
54	2023-12-08	14075.0	Call	NDXP YE4S9PMCJFQM|NDX 31	2023-12-05 16:00:00	1828.10	1903.20	1823.80	1831.20	1.0	1817.70	1827.00	1745.30	1789.70	1.0	1822.900	1865.100	1784.550	1810.450	NaN
55	2023-12-08	15250.0	Call	NDXP YE4S83YT515A|NDX 31	2023-12-05 16:00:00	657.00	675.70	652.70	669.40	1.0	646.70	656.00	628.60	628.60	1.0	651.850	665.850	640.650	649.000	NaN
56	2023-12-08	14950.0	Put	NDXP 32D8SDJT1ST1Q|NDX 31	2023-12-05 16:00:00	2.15	2.35	2.10	2.35	12.0	1.50	1.70	1.50	1.70	11.0	1.825	2.025	1.800	2.025	NaN
57	2023-12-08	15325.0	Put	NDXP 32D8SFBC9ZMUM|NDX 31	2023-12-05 16:00:00	4.80	5.10	4.80	5.10	12.0	4.10	4.40	4.00	4.40	2.0	4.570	4.570	4.570	4.570	2.0
58	2023-12-08	14800.0	Call	NDXP YE4S7XN2WAB2|NDX 31	2023-12-05 16:00:00	1104.60	1183.00	1100.60	1118.70	1.0	1094.30	1103.80	1021.10	1066.10	1.0	1099.450	1143.400	1060.850	1092.400	NaN
59	2023-12-08	11800.0	Put	NDXP 32D8SDDHBK27I|NDX 31	2023-12-05 16:00:00	0.30	0.75	0.30	0.35	11.0	NaN	NaN	NaN	NaN	NaN	0.300	0.750	0.300	0.350	NaN
60	2024-03-15	12050.0	Put	NDX 32FXA6OBMPOGE|NDX 31	2023-12-05 17:00:00	30.10	31.40	29.70	30.10	7.0	27.80	28.30	27.40	28.00	7.0	28.950	29.850	28.550	29.050	NaN
61	2023-12-15	12700.0	Call	NDX YEBOCL3SEJE6|NDX 31	2023-12-05 17:00:00	3215.00	3235.60	3211.00	3218.50	1.0	3204.70	3214.20	3175.50	3175.50	1.0	3209.850	3224.900	3193.250	3197.000	NaN
62	2023-12-15	18675.0	Put	NDX 32DFOKEAHK6EM|NDX 31	2023-12-05 17:00:00	2761.20	2788.00	2751.90	2787.60	1.0	2750.70	2754.80	2727.90	2746.60	1.0	2755.950	2771.400	2739.900	2767.100	NaN
63	2024-03-15	16200.0	Call	NDX YGTA13JXQWQ6|NDX 31	2023-12-05 17:00:00	531.70	544.80	530.10	530.20	3.0	525.70	530.70	506.10	524.20	6.0	528.700	537.750	518.100	527.200	NaN
64	2024-03-15	8400.0	Put	NDX 32FXA6J68MM9A|NDX 31	2023-12-05 17:00:00	4.70	4.70	4.60	4.60	8.0	2.90	3.20	2.90	3.00	7.0	3.800	3.950	3.750	3.800	NaN
65	2024-03-15	12475.0	Put	NDX 32FXA843HBNU6|NDX 31	2023-12-05 17:00:00	39.10	46.90	38.60	39.10	6.0	36.70	37.20	36.50	36.80	11.0	37.900	42.050	37.550	37.950	NaN
66	2024-03-15	15625.0	Call	NDX YGTA32L8C60E|NDX 31	2023-12-05 17:00:00	880.50	902.40	877.90	884.50	1.0	872.40	879.20	852.90	854.60	1.0	876.450	890.800	865.400	869.550	NaN
67	2023-12-15	12650.0	Call	NDX YEBOCQBZPAFI|NDX 31	2023-12-05 17:00:00	3264.90	3285.50	3260.80	3265.90	1.0	3254.60	3263.90	3225.40	3225.40	1.0	3259.750	3274.700	3243.100	3245.650	NaN
68	2023-12-15	15210.0	Call	NDX YEBOCRIBUZ2M|NDX 31	2023-12-05 17:00:00	728.20	750.90	724.40	733.10	1.0	718.50	727.40	699.20	700.40	1.0	723.350	739.150	711.800	716.750	NaN
69	2023-12-15	14400.0	Call	NDX YEBOCL6LM88E|NDX 31	2023-12-05 17:00:00	1521.40	1544.00	1517.40	1522.60	1.0	1511.20	1521.00	1483.90	1483.90	1.0	1516.300	1532.500	1500.650	1503.250	NaN
70	2024-06-21	13300.0	Put	NDX 32ILRZP8VUYEM|NDX 31	2023-12-05 17:00:00	185.20	192.00	184.20	186.60	1.0	181.50	181.50	176.30	181.20	2.0	183.350	186.750	180.250	183.900	NaN
71	2024-06-21	10300.0	Call	NDX YJHRU94PZ3JI|NDX 31	2023-12-05 17:00:00	5888.60	5968.10	5884.10	5955.90	1.0	5873.90	5883.70	5789.60	5789.60	1.0	5881.250	5925.900	5836.850	5872.750	NaN
