
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2023-12-15	16290.0	Call	NDX YEBOCS06V4EM|NDX 31	2023-11-28 17:00:00	97.70	103.80	95.30	95.90	3.0	95.80	95.80	87.80	94.10	1.0	96.750	99.800	91.550	95.000	NaN
1	2023-12-15	18850.0	Call	NDX YEBOCT6J0T1Q|NDX 31	2023-11-28 17:00:00	0.45	1.50	0.45	0.45	21.0	0.05	0.05	0.05	0.05	1.0	0.250	0.775	0.250	0.250	NaN
2	2023-12-15	20200.0	Put	NDX 32DFOI1FE7GHA|NDX 31	2023-11-28 17:00:00	4142.70	4227.40	4141.20	4227.40	1.0	4129.30	4134.20	4065.00	4065.00	1.0	4136.000	4180.800	4103.100	4146.200	NaN
3	2024-06-21	8100.0	Put	NDX 32ILRZP0A9JU6|NDX 31	2023-11-28 17:00:00	14.70	15.00	14.70	15.00	2.0	12.20	12.30	4.30	12.00	2.0	13.450	13.650	9.500	13.500	NaN
4	2023-12-15	18350.0	Put	NDX 32DFOI8XGLVYM|NDX 31	2023-11-28 17:00:00	2298.50	2372.60	2296.70	2324.30	1.0	2285.10	2289.70	2222.40	2270.60	1.0	2291.800	2331.150	2259.550	2297.450	NaN
5	2024-03-15	8900.0	Call	NDX YGTA137V4H4E|NDX 31	2023-11-28 17:00:00	7243.50	7306.80	7238.90	7256.90	1.0	7228.90	7230.70	7156.80	7203.40	1.0	7236.200	7268.750	7197.850	7230.150	NaN
6	2024-06-21	13100.0	Call	NDX YJHRU99COGXA|NDX 31	2023-11-28 17:00:00	3422.60	3488.10	3418.30	3488.10	1.0	3406.20	3408.10	3321.70	3321.70	1.0	3414.400	3448.100	3370.000	3404.900	NaN
7	2023-12-15	15790.0	Put	NDX 32DFOI7R4G7BI|NDX 31	2023-11-28 17:00:00	105.20	113.70	104.10	105.90	10.0	103.10	104.50	96.60	103.90	5.0	104.150	109.100	100.350	104.900	NaN
8	2024-09-20	14400.0	Call	NDX YLZDIRLV1H66|NDX 31	2023-11-28 17:00:00	2601.80	2665.30	2598.00	2665.30	1.0	2579.20	2582.00	2503.00	2503.00	1.0	2590.500	2623.650	2550.500	2584.150	NaN
9	2023-12-15	11875.0	Call	NDX YEBOE32OUD7Y|NDX 31	2023-11-28 17:00:00	4173.10	4235.70	4168.80	4186.70	1.0	4159.80	4161.60	4085.20	4132.10	1.0	4166.450	4198.650	4127.000	4159.400	NaN
10	2023-12-15	11825.0	Put	NDX 32DFOJITMFG4U|NDX 31	2023-11-28 17:00:00	1.20	2.20	1.20	1.20	17.0	0.75	0.75	0.05	0.75	16.0	0.975	1.475	0.625	0.975	NaN
11	2024-09-20	17400.0	Put	NDX 32L3DO7Q0XC1A|NDX 31	2023-11-28 17:00:00	1451.10	1521.50	1447.80	1521.50	1.0	1433.00	1434.90	1359.30	1364.80	1.0	1442.050	1478.200	1403.550	1443.150	NaN
12	2023-12-01	16280.0	Put	NDXP 32D1W8WUV41HQ|NDX 31	2023-11-28 16:00:00	276.90	283.40	274.80	281.20	1.0	264.60	268.40	261.70	266.80	1.0	270.750	275.900	268.250	274.000	NaN
13	2023-12-15	15380.0	Call	NDX YEBOCRL52NWU|NDX 31	2023-11-28 17:00:00	712.40	725.60	708.70	717.90	1.0	700.70	702.50	685.10	685.10	1.0	706.550	714.050	696.900	701.500	NaN
14	2023-12-15	11100.0	Put	NDX 32DFOI10CEZZI|NDX 31	2023-11-28 17:00:00	0.80	1.70	0.80	0.80	17.0	0.35	0.35	0.30	0.35	20.0	0.575	1.025	0.550	0.575	NaN
15	2024-06-21	17200.0	Put	NDX 32ILRZPFC20BY|NDX 31	2023-11-28 17:00:00	1237.70	1316.30	1235.80	1241.00	1.0	1225.80	1228.80	1153.80	1226.50	1.0	1231.750	1272.550	1194.800	1233.750	NaN
16	2023-12-15	16100.0	Call	NDX YEBOCL9ETX2M|NDX 31	2023-11-28 17:00:00	175.40	181.30	171.90	173.00	2.0	173.20	173.50	163.40	170.60	1.0	174.300	177.400	167.650	171.800	NaN
17	2023-12-15	18275.0	Call	NDX YEBOEWH4SH9Q|NDX 31	2023-11-28 17:00:00	0.65	1.70	0.65	0.65	21.0	0.20	0.20	0.05	0.20	20.0	0.425	0.950	0.350	0.425	NaN
18	2023-12-01	17675.0	Call	NDXP YDXW5ILJH3E6|NDX 31	2023-11-28 16:00:00	0.45	0.80	0.45	0.45	15.0	0.05	0.05	0.05	0.05	19.0	0.250	0.425	0.250	0.250	NaN
19	2023-12-01	14525.0	Put	NDXP 32D1WAK3SGL7Y|NDX 31	2023-11-28 16:00:00	1.00	1.45	0.90	0.95	17.0	0.55	0.55	0.05	0.50	13.0	0.775	1.000	0.475	0.725	NaN
20	2023-12-15	18225.0	Put	NDX 32DFOKC82DK6M|NDX 31	2023-11-28 17:00:00	2173.90	2247.90	2172.10	2199.80	1.0	2160.50	2165.30	2096.30	2146.00	1.0	2167.200	2206.600	2134.200	2172.900	NaN
21	2024-03-15	14875.0	Call	NDX YGTA2Z5714Z2|NDX 31	2023-11-28 17:00:00	1560.10	1631.70	1555.90	1570.00	1.0	1547.90	1549.60	1469.80	1511.80	1.0	1554.000	1590.650	1512.850	1540.900	NaN
22	2024-03-15	14825.0	Put	NDX 32FXA8EW4M7VY|NDX 31	2023-11-28 17:00:00	192.80	199.30	192.10	193.00	24.0	189.90	189.90	184.10	189.40	10.0	191.350	194.600	188.100	191.200	NaN
23	2023-12-01	16400.0	Call	NDXP YDXW3A5JMCZ2|NDX 31	2023-11-28 16:00:00	3.50	3.70	3.50	3.70	2.0	3.20	3.20	3.00	3.10	24.0	3.350	3.450	3.250	3.400	NaN
24	2023-12-15	14000.0	Put	NDX 32DFOI0KAYOCU|NDX 31	2023-11-28 17:00:00	5.10	5.10	5.10	5.10	23.0	4.50	4.50	4.50	4.50	20.0	4.800	4.800	4.800	4.800	NaN
25	2023-12-01	14630.0	Put	NDXP 32D1W8W3KQTCE|NDX 31	2023-11-28 16:00:00	1.05	1.55	1.00	1.05	14.0	0.60	0.65	0.05	0.60	17.0	0.825	1.100	0.525	0.825	NaN
26	2023-12-01	15410.0	Call	NDXP YDXW3GH9V3TA|NDX 31	2023-11-28 16:00:00	618.50	629.70	614.40	626.10	1.0	605.20	607.10	589.30	589.30	1.0	611.850	618.400	601.850	607.700	NaN
27	2023-12-01	12850.0	Call	NDXP YDXW3FAXPF66|NDX 31	2023-11-28 16:00:00	3174.00	3247.70	3169.40	3176.10	1.0	3160.60	3162.40	3085.80	3134.00	1.0	3167.300	3205.050	3127.600	3155.050	NaN
28	2023-12-15	9350.0	Call	NDX YEBOCOTEYU4U|NDX 31	2023-11-28 17:00:00	6690.10	6762.20	6685.50	6706.40	1.0	6676.80	6678.60	6596.80	6649.00	1.0	6683.450	6720.400	6641.150	6677.700	NaN
29	2023-12-15	12800.0	Put	NDX 32DFOI135MOTQ|NDX 31	2023-11-28 17:00:00	2.20	3.40	2.20	2.20	20.0	1.70	1.70	1.65	1.70	19.0	1.950	2.550	1.925	1.950	NaN
30	2024-09-20	12700.0	Put	NDX 32L3DO7I93LPQ|NDX 31	2023-11-28 17:00:00	212.80	217.10	211.70	217.10	17.0	203.10	204.00	200.90	201.70	16.0	207.950	210.550	206.300	209.400	NaN
