
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2023-12-15	9750.0	Call	NDX YEBOCP01483Y|NDX 31	2023-11-30 17:00:00	6211.80	6319.80	6203.30	6315.70	1.0	6197.00	6207.10	6106.50	6115.70	1.0	6204.400	6263.450	6154.900	6215.700	NaN
1	2024-06-21	9900.0	Put	NDX 32ILRZP39FKQ6|NDX 31	2023-11-30 17:00:00	34.40	36.90	33.40	34.00	2.0	30.00	30.90	28.10	30.10	2.0	32.200	33.900	30.750	32.050	NaN
2	2024-06-21	17700.0	Call	NDX YJHRU9GYJV72|NDX 31	2023-11-30 17:00:00	321.50	328.80	318.30	324.90	1.0	315.30	317.90	306.00	315.00	1.0	318.400	323.350	312.150	319.950	NaN
3	2023-12-15	16250.0	Put	NDX 32DFOI7YQBLLA|NDX 31	2023-11-30 17:00:00	366.30	376.10	357.60	361.60	1.0	355.10	361.80	341.00	344.20	1.0	360.700	368.950	349.300	352.900	NaN
4	2024-03-15	10100.0	Put	NDX 32FXA6J91UB3I|NDX 31	2023-11-30 17:00:00	10.40	11.80	10.20	10.90	10.0	8.70	8.80	8.40	8.50	2.0	9.550	10.300	9.300	9.700	NaN
5	2023-12-15	13525.0	Call	NDX YEBOEANKIMPA|NDX 31	2023-11-30 17:00:00	2450.00	2571.60	2440.70	2547.10	1.0	2435.00	2445.10	2334.00	2347.20	1.0	2442.500	2508.350	2387.350	2447.150	NaN
6	2023-12-15	13000.0	Call	NDX YEBOCKKXQIXA|NDX 31	2023-11-30 17:00:00	2972.70	3076.40	2963.30	3073.90	1.0	2957.60	2967.30	2855.50	2873.90	1.0	2965.150	3021.850	2909.400	2973.900	NaN
7	2024-09-20	17800.0	Call	NDX YLZDIRRHGUUM|NDX 31	2023-11-30 17:00:00	551.30	566.10	547.90	566.10	11.0	531.90	539.40	514.60	524.70	11.0	541.600	552.750	531.250	545.400	NaN
8	2023-12-15	16520.0	Call	NDX YEBOCS3ZSTJI|NDX 31	2023-11-30 17:00:00	29.10	36.60	27.70	30.10	13.0	27.90	28.50	19.60	27.30	13.0	28.500	32.550	23.650	28.700	NaN
9	2023-12-15	15700.0	Put	NDX 32DFOI17YAE9A|NDX 31	2023-11-30 17:00:00	102.70	111.60	98.50	101.50	4.0	100.50	103.80	90.40	96.50	4.0	101.600	107.700	94.450	99.000	NaN
