
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2023-12-22	13075.0	Call	NDXP YEIKIW5BVALQ|NDX 31	2023-12-18 16:00:00	3651.10	3746.80	3647.90	3746.80	1.0	3635.00	3646.40	3559.50	3589.40	1.0	3643.050	3696.600	3603.700	3668.100	NaN
1	2023-12-22	13925.0	Put	NDXP 32DMKOG13TLYM|NDX 31	2023-12-18 16:00:00	0.65	1.80	0.45	0.60	7.0	NaN	NaN	NaN	NaN	NaN	0.650	1.800	0.450	0.600	NaN
2	2023-12-22	19475.0	Call	NDXP YEIKJPJRTENI|NDX 31	2023-12-18 16:00:00	1.30	1.30	0.35	0.50	2.0	NaN	NaN	NaN	NaN	NaN	1.300	1.300	0.350	0.500	NaN
3	2024-09-20	17000.0	Put	NDX 32L3DO7028XFY|NDX 31	2023-12-18 17:00:00	943.50	1012.80	934.10	934.10	1.0	930.30	932.40	852.00	918.90	2.0	936.900	972.600	893.050	926.500	NaN
4	2024-03-15	19500.0	Put	NDX 32FXA6JOLHRQM|NDX 31	2023-12-18 17:00:00	2569.80	2645.90	2557.70	2618.60	1.0	2553.50	2557.50	2456.70	2456.70	1.0	2561.650	2601.700	2507.200	2537.650	NaN
5	2024-03-15	12500.0	Call	NDX YGTA13DTGIWE|NDX 31	2023-12-18 17:00:00	4382.80	4477.70	4378.80	4477.70	1.0	4366.20	4378.50	4291.30	4324.10	1.0	4374.500	4428.100	4335.050	4400.900	NaN
6	2024-09-20	12400.0	Call	NDX YLZDIRIJYS6M|NDX 31	2023-12-18 17:00:00	4863.00	4950.30	4858.70	4950.30	1.0	4841.10	4847.70	4774.00	4797.90	1.0	4852.050	4899.000	4816.350	4874.100	NaN
7	2023-12-22	17200.0	Call	NDXP YEIKH8VEUVQM|NDX 31	2023-12-18 16:00:00	3.90	5.40	3.70	5.00	7.0	3.00	3.80	1.70	3.80	8.0	3.450	4.600	2.700	4.400	NaN
8	2024-09-20	11400.0	Put	NDX 32L3DO7G3P92M|NDX 31	2023-12-18 17:00:00	89.30	93.00	87.90	88.20	5.0	83.20	83.60	76.80	81.80	5.0	86.250	88.300	82.350	85.000	NaN
9	2023-12-22	15490.0	Call	NDXP YEIKHF753MKU|NDX 31	2023-12-18 16:00:00	1240.10	1336.90	1236.80	1336.90	1.0	1224.00	1235.50	1153.50	1184.80	1.0	1232.050	1286.200	1195.150	1260.850	NaN
10	2023-12-22	18050.0	Call	NDXP YEIKHGDH9B7Y|NDX 31	2023-12-18 16:00:00	0.55	2.25	0.50	0.75	7.0	0.05	0.05	0.05	0.05	1.0	0.300	1.150	0.275	0.400	NaN
11	2023-12-22	13750.0	Put	NDXP 32DMKMUDKF7DA|NDX 31	2023-12-18 16:00:00	0.60	1.70	0.45	0.55	7.0	NaN	NaN	NaN	NaN	NaN	0.600	1.700	0.450	0.550	NaN
12	2023-12-22	16310.0	Put	NDXP 32DMKMVJWKW0E|NDX 31	2023-12-18 16:00:00	9.50	10.80	8.10	8.10	4.0	8.30	8.30	4.00	6.70	4.0	8.900	9.550	6.050	7.400	NaN
13	2024-03-15	10000.0	Put	NDX 32FXA6ISIL4HA|NDX 31	2023-12-18 17:00:00	7.20	7.30	6.80	7.00	8.0	5.60	5.70	5.00	5.40	8.0	6.400	6.500	5.900	6.200	NaN
14	2024-03-15	16300.0	Put	NDX 32FXA6JJAZ25Q|NDX 31	2023-12-18 17:00:00	316.20	320.50	308.80	308.80	1.0	312.90	312.90	296.00	303.50	1.0	314.550	316.700	302.400	306.150	NaN
15	2024-03-15	16025.0	Put	NDX 32FXA8KEL3V5A|NDX 31	2023-12-18 17:00:00	250.20	255.30	244.10	244.10	1.0	247.00	247.00	235.00	241.30	1.0	248.600	251.150	239.550	242.700	NaN
16	2024-06-21	9600.0	Put	NDX 32ILRZP2RKKKU|NDX 31	2023-12-18 17:00:00	21.40	27.30	21.00	21.90	1.0	18.80	19.00	11.20	18.20	2.0	20.100	23.150	16.100	20.050	NaN
17	2023-12-22	16300.0	Put	NDXP 32DMKMOT4JOOE|NDX 31	2023-12-18 16:00:00	9.10	9.70	7.70	7.70	6.0	7.90	7.90	3.80	6.40	4.0	7.900	7.900	7.650	7.650	3.0
18	2024-03-15	13375.0	Call	NDX YGTA2S94F2WE|NDX 31	2023-12-18 17:00:00	3533.40	3643.60	3530.10	3628.30	1.0	3515.90	3527.90	3441.50	3467.70	1.0	3524.650	3585.750	3485.800	3548.000	NaN
19	2023-12-22	17140.0	Call	NDXP YEIKHFYFGUQ6|NDX 31	2023-12-18 16:00:00	5.50	9.00	5.30	7.10	6.0	4.50	5.80	3.00	5.80	7.0	5.000	7.400	4.150	6.450	NaN
20	2024-03-15	14725.0	Put	NDX 32FXA8EFL8QY6|NDX 31	2023-12-18 17:00:00	87.50	90.30	85.20	85.20	2.0	84.60	84.60	74.10	81.40	3.0	86.050	87.450	79.650	83.300	NaN
21	2023-12-22	18525.0	Call	NDXP YEIKJL6NRFQM|NDX 31	2023-12-18 16:00:00	0.50	1.40	0.40	0.60	9.0	NaN	NaN	NaN	NaN	NaN	0.500	1.400	0.400	0.600	NaN
22	2023-12-22	14875.0	Put	NDXP 32DMKOKE7VKVI|NDX 31	2023-12-18 16:00:00	1.15	2.15	0.90	1.05	6.0	0.30	0.40	0.05	0.10	7.0	0.725	1.275	0.475	0.575	NaN
23	2024-03-15	19900.0	Call	NDX YGTA13Q21AJY|NDX 31	2023-12-18 17:00:00	9.10	12.50	8.80	9.30	10.0	7.50	7.90	7.10	7.90	11.0	8.300	10.200	7.950	8.600	NaN
24	2024-06-21	15700.0	Call	NDX YJHRU9DNH67I|NDX 31	2023-12-18 17:00:00	1794.10	1883.10	1788.80	1809.90	1.0	1777.50	1792.20	1703.70	1792.20	1.0	1785.800	1837.650	1746.250	1801.050	NaN
25	2023-12-22	16230.0	Call	NDXP YEIKHFJDOE8E|NDX 31	2023-12-18 16:00:00	505.60	527.60	502.00	527.60	1.0	488.80	510.10	486.40	510.10	1.0	497.200	518.850	494.200	518.850	NaN
26	2023-12-22	15570.0	Put	NDXP 32DMKMV7O04CU|NDX 31	2023-12-18 16:00:00	2.85	3.20	1.80	2.00	7.0	1.90	1.90	0.05	0.95	8.0	2.375	2.550	0.925	1.475	NaN
27	2024-09-20	10700.0	Call	NDX YLZDIRFQR3CE|NDX 31	2023-12-18 17:00:00	6425.90	6515.40	6422.00	6515.40	1.0	6402.50	6415.80	6336.70	6353.20	1.0	6414.200	6465.600	6379.350	6434.300	NaN
28	2023-12-22	15500.0	Call	NDXP YEIKH8SLN6WE|NDX 31	2023-12-18 16:00:00	1230.10	1327.00	1226.80	1327.00	1.0	1214.10	1225.30	1145.50	1163.80	1.0	1222.100	1276.150	1186.150	1245.400	NaN
29	2023-12-22	15320.0	Call	NDXP YEIKHF4BVXQM|NDX 31	2023-12-18 16:00:00	1409.70	1504.90	1406.30	1504.90	1.0	1393.50	1405.00	1322.40	1342.70	1.0	1401.600	1454.950	1364.350	1423.800	NaN
30	2024-03-15	15675.0	Put	NDX 32FXA8ISPAPV2|NDX 31	2023-12-18 17:00:00	186.20	191.20	181.70	181.70	3.0	183.10	183.10	171.90	178.40	3.0	184.650	187.150	176.800	180.050	NaN
31	2024-03-15	12425.0	Call	NDX YGTA2NW0D3ZI|NDX 31	2023-12-18 17:00:00	4456.00	4550.90	4451.90	4550.90	1.0	4439.40	4452.70	4364.00	4388.80	1.0	4447.700	4501.800	4407.950	4469.850	NaN
32	2023-12-22	17220.0	Put	NDXP 32DMKMVYYDCI6|NDX 31	2023-12-18 16:00:00	508.60	512.30	488.60	488.60	1.0	492.50	496.10	470.40	470.40	1.0	500.550	504.200	479.500	479.500	NaN
33	2024-06-21	15300.0	Put	NDX 32ILRZPC6XNE6|NDX 31	2023-12-18 17:00:00	325.10	328.40	319.10	319.10	2.0	316.40	317.30	307.30	311.00	2.0	320.750	322.850	313.200	315.050	NaN
