
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2024-09-20	17000.0	Put	NDX 32L3DO7028XFY|NDX 31	2023-12-27 17:00:00	876.90	983.70	874.30	882.80	3.0	861.80	867.30	800.00	862.00	3.0	869.350	925.500	837.150	872.400	NaN
1	2024-03-15	19500.0	Put	NDX 32FXA6JOLHRQM|NDX 31	2023-12-27 17:00:00	2374.20	2471.20	2370.10	2449.50	1.0	2343.80	2358.90	2264.60	2300.10	1.0	2359.000	2415.050	2317.350	2374.800	NaN
2	2024-03-15	12500.0	Call	NDX YGTA13DTGIWE|NDX 31	2023-12-27 17:00:00	4600.50	4687.80	4585.60	4654.60	1.0	4569.80	4573.60	4479.50	4489.40	1.0	4585.150	4630.700	4532.550	4572.000	NaN
3	2024-09-20	12400.0	Call	NDX YLZDIRIJYS6M|NDX 31	2023-12-27 17:00:00	5060.40	5148.00	5051.50	5116.40	1.0	5028.20	5032.20	4945.20	4953.90	1.0	5044.300	5090.100	4998.350	5035.150	NaN
4	2023-12-29	17240.0	Put	NDXP 32DTGRJJGTAQ6|NDX 31	2023-12-27 16:00:00	309.10	323.10	304.80	316.10	1.0	292.80	306.60	277.70	301.10	2.0	300.950	314.850	291.250	308.600	NaN
5	2023-12-29	15460.0	Call	NDXP YEPGM2QTRWJY|NDX 31	2023-12-27 16:00:00	1498.60	1584.90	1486.20	1554.10	1.0	1467.90	1471.90	1362.60	1393.00	1.0	1483.250	1528.400	1424.400	1473.550	NaN
6	2024-09-20	11400.0	Put	NDX 32L3DO7G3P92M|NDX 31	2023-12-27 17:00:00	83.70	90.40	83.20	84.80	17.0	76.90	77.40	70.50	76.10	3.0	80.300	83.900	76.850	80.450	NaN
7	2023-12-29	16900.0	Call	NDXP YEPGLWF3J5PQ|NDX 31	2023-12-27 16:00:00	92.80	96.30	78.90	83.40	2.0	82.50	85.20	71.80	77.10	1.0	87.650	90.750	75.350	80.250	NaN
8	2023-12-29	9100.0	Put	NDXP 32DTGRC1EEV8U|NDX 31	2023-12-27 16:00:00	0.45	20.00	0.35	0.35	3.0	NaN	NaN	NaN	NaN	NaN	0.450	20.000	0.350	0.350	NaN
9	2024-03-15	10000.0	Put	NDX 32FXA6ISIL4HA|NDX 31	2023-12-27 17:00:00	5.40	20.00	5.40	5.50	1.0	4.00	4.10	2.70	4.10	2.0	4.700	12.050	4.050	4.800	NaN
